now_arrive_time,distance,hot
06시,266.0,0
06시,333.0,0
06시,415.0,0
06시,578.0,0
07시,374.0,1
07시,417.0,1
07시,334.0,1
07시,341.0,1
07시,185.0,1
07시,252.0,1
07시,322.0,1
08시,291.0,1
08시,381.0,1
08시,267.0,1
08시,374.0,1
08시,321.0,1
08시,455.0,1
08시,528.0,1
08시,375.0,1
08시,354.0,1
08시,262.0,1
08시,333.0,1
08시,232.0,1
08시,193.0,1
08시,459.0,1
08시,454.0,1
08시,414.0,1
08시,525.0,1
08시,355.0,0
08시,350.0,0
08시,244.0,0
08시,330.0,0
08시,591.0,0
08시,266.0,0
08시,333.0,0
08시,415.0,0
09시,578.0,0
10시,550.0,1
10시,199.0,1
10시,341.0,1
10시,185.0,1
11시,252.0,1
11시,322.0,1
11시,291.0,1
11시,381.0,1
11시,267.0,1
11시,374.0,1
11시,321.0,1
11시,455.0,1
11시,528.0,1
11시,375.0,1
11시,354.0,1
11시,262.0,1
11시,333.0,1
11시,232.0,1
11시,193.0,1
11시,414.0,1
11시,525.0,1
11시,642.0,1
11시,578.0,0
11시,244.0,0
11시,330.0,0
11시,738.0,0
11시,266.0,0
13시,642.0,1
13시,454.0,1
13시,374.0,1
13시,417.0,1
13시,334.0,1
14시,550.0,1
14시,199.0,1
14시,341.0,1
14시,185.0,1
14시,252.0,1
14시,322.0,1
14시,291.0,1
14시,381.0,1
14시,267.0,1
14시,374.0,1
14시,321.0,1
14시,455.0,1
14시,528.0,1
14시,753.0,1
14시,381.0,1
14시,375.0,1
14시,354.0,1
14시,262.0,1
14시,333.0,1
14시,232.0,1
14시,193.0,1
14시,459.0,1
14시,454.0,1
14시,414.0,1
14시,525.0,1
14시,642.0,1
14시,578.0,0
14시,355.0,0
14시,350.0,0
14시,244.0,0
14시,330.0,0
14시,738.0,0
14시,266.0,0
14시,333.0,0
14시,415.0,0
16시,266.0,0
16시,578.0,0
16시,374.0,1
17시,417.0,1
17시,334.0,1
17시,550.0,1
17시,199.0,1
17시,341.0,1
17시,185.0,1
17시,291.0,1
17시,381.0,1
17시,267.0,1
17시,374.0,1
17시,321.0,1
17시,455.0,1
17시,528.0,1
17시,753.0,1
17시,381.0,1
17시,375.0,1
17시,354.0,1
18시,262.0,1
18시,333.0,1
18시,232.0,1
18시,193.0,1
18시,459.0,1
18시,454.0,1
18시,414.0,1
18시,525.0,1
18시,642.0,1
18시,578.0,0
18시,355.0,0
18시,350.0,0
18시,244.0,0
18시,330.0,0
18시,738.0,0
18시,266.0,0
18시,333.0,0
18시,415.0,0
19시,266.0,0
19시,578.0,0
20시,417.0,1
20시,334.0,1
20시,550.0,1
20시,199.0,1
20시,341.0,1
20시,185.0,1
20시,252.0,1
20시,322.0,1
20시,291.0,1
20시,381.0,1
21시,267.0,1
21시,374.0,1
21시,321.0,1
21시,455.0,1
21시,528.0,1
21시,753.0,1
21시,381.0,1
21시,375.0,1
21시,354.0,1
21시,262.0,1
21시,333.0,1
21시,232.0,1
21시,193.0,1
21시,459.0,1
21시,454.0,1
21시,414.0,1
21시,525.0,1
21시,642.0,1
21시,578.0,0
21시,355.0,0
21시,350.0,0
21시,244.0,0
21시,330.0,0
21시,591.0,0
21시,266.0,0
21시,333.0,0
21시,415.0,0
06시,578.0,0
06시,244.0,0
06시,415.0,0
06시,578.0,0
07시,642.0,1
07시,454.0,1
07시,374.0,1
07시,417.0,1
07시,334.0,1
08시,550.0,1
08시,199.0,1
08시,341.0,1
08시,185.0,1
08시,322.0,1
08시,291.0,1
08시,381.0,1
08시,267.0,1
08시,374.0,1
08시,321.0,1
08시,455.0,1
08시,528.0,1
08시,753.0,1
08시,381.0,1
08시,375.0,1
08시,354.0,1
08시,262.0,1
08시,333.0,1
08시,232.0,1
08시,193.0,1
08시,459.0,1
08시,454.0,1
08시,414.0,1
08시,525.0,1
08시,642.0,1
08시,578.0,0
08시,355.0,0
08시,350.0,0
08시,333.0,0
09시,415.0,0
10시,578.0,0
10시,642.0,1
10시,525.0,1
10시,414.0,1
10시,454.0,1
10시,374.0,1
11시,417.0,1
11시,334.0,1
11시,550.0,1
11시,199.0,1
11시,341.0,1
11시,185.0,1
11시,322.0,1
11시,291.0,1
11시,381.0,1
11시,267.0,1
11시,374.0,1
11시,321.0,1
11시,455.0,1
11시,528.0,1
11시,753.0,1
11시,381.0,1
11시,375.0,1
11시,354.0,1
11시,262.0,1
11시,333.0,1
11시,232.0,1
11시,193.0,1
11시,459.0,1
11시,454.0,1
11시,414.0,1
11시,525.0,1
11시,642.0,1
11시,578.0,0
11시,355.0,0
11시,350.0,0
11시,244.0,0
11시,330.0,0
11시,738.0,0
11시,300.0,0
11시,591.0,0
12시,266.0,0
13시,415.0,0
13시,578.0,0
13시,381.0,1
14시,417.0,1
14시,334.0,1
14시,550.0,1
14시,199.0,1
14시,341.0,1
14시,185.0,1
14시,252.0,1
14시,322.0,1
14시,291.0,1
14시,381.0,1
14시,267.0,1
