ID,ECLO
ACCIDENT_39609,3.2294183
ACCIDENT_39610,3.594432
ACCIDENT_39611,4.911897
ACCIDENT_39612,4.6553655
ACCIDENT_39613,4.7856107
ACCIDENT_39614,4.2225337
ACCIDENT_39615,4.483899
ACCIDENT_39616,3.681659
ACCIDENT_39617,4.2918706
ACCIDENT_39618,4.425605
ACCIDENT_39619,4.3815985
ACCIDENT_39620,3.4658973
ACCIDENT_39621,4.681044
ACCIDENT_39622,3.643315
ACCIDENT_39623,3.253578
ACCIDENT_39624,5.0353847
ACCIDENT_39625,4.7089047
ACCIDENT_39626,4.7475266
ACCIDENT_39627,4.494649
ACCIDENT_39628,4.701791
ACCIDENT_39629,3.796476
ACCIDENT_39630,3.3232143
ACCIDENT_39631,4.070954
ACCIDENT_39632,4.4985747
ACCIDENT_39633,4.318725
ACCIDENT_39634,4.247644
ACCIDENT_39635,4.336829
ACCIDENT_39636,4.47726
ACCIDENT_39637,3.5376453
ACCIDENT_39638,4.673045
ACCIDENT_39639,4.584839
ACCIDENT_39640,4.540961
ACCIDENT_39641,4.3995953
ACCIDENT_39642,2.9798396
ACCIDENT_39643,4.3615737
ACCIDENT_39644,3.250589
ACCIDENT_39645,2.9576752
ACCIDENT_39646,4.5339794
ACCIDENT_39647,4.6508527
ACCIDENT_39648,4.61554
ACCIDENT_39649,3.238167
ACCIDENT_39650,3.511451
ACCIDENT_39651,3.728646
ACCIDENT_39652,4.2235713
ACCIDENT_39653,3.9008644
ACCIDENT_39654,3.477717
ACCIDENT_39655,3.947255
ACCIDENT_39656,3.7653556
ACCIDENT_39657,4.1207666
ACCIDENT_39658,4.254323
ACCIDENT_39659,3.7878919
ACCIDENT_39660,4.3213177
ACCIDENT_39661,3.990099
ACCIDENT_39662,4.0666366
ACCIDENT_39663,4.134269
ACCIDENT_39664,4.032924
ACCIDENT_39665,4.0172114
ACCIDENT_39666,3.3953333
ACCIDENT_39667,3.8598754
ACCIDENT_39668,3.264829
ACCIDENT_39669,3.6054018
ACCIDENT_39670,3.9201171
ACCIDENT_39671,4.324387
ACCIDENT_39672,4.0472417
ACCIDENT_39673,3.0632927
ACCIDENT_39674,4.1898003
ACCIDENT_39675,3.8399913
ACCIDENT_39676,4.2046514
ACCIDENT_39677,3.182933
ACCIDENT_39678,3.73621
ACCIDENT_39679,4.268833
ACCIDENT_39680,4.130423
ACCIDENT_39681,3.0254474
ACCIDENT_39682,3.96362
ACCIDENT_39683,3.6752105
ACCIDENT_39684,3.406549
ACCIDENT_39685,4.5223813
ACCIDENT_39686,4.478619
ACCIDENT_39687,4.214466
ACCIDENT_39688,3.30691
ACCIDENT_39689,4.233884
ACCIDENT_39690,4.027362
ACCIDENT_39691,3.7840102
ACCIDENT_39692,4.039307
ACCIDENT_39693,3.672092
ACCIDENT_39694,4.0549726
ACCIDENT_39695,4.045053
ACCIDENT_39696,4.151593
ACCIDENT_39697,4.000822
ACCIDENT_39698,4.1379366
ACCIDENT_39699,3.8380332
ACCIDENT_39700,4.0138073
ACCIDENT_39701,4.222154
ACCIDENT_39702,3.9581127
ACCIDENT_39703,4.0372744
ACCIDENT_39704,4.070058
ACCIDENT_39705,3.9812148
ACCIDENT_39706,3.3994107
ACCIDENT_39707,4.3839006
ACCIDENT_39708,4.2891016
ACCIDENT_39709,3.954348
ACCIDENT_39710,3.6003006
ACCIDENT_39711,3.8122687
ACCIDENT_39712,3.7820408
ACCIDENT_39713,3.9407012
ACCIDENT_39714,4.119225
ACCIDENT_39715,4.574311
ACCIDENT_39716,4.1524186
ACCIDENT_39717,4.3787193
ACCIDENT_39718,4.104199
ACCIDENT_39719,4.0347657
ACCIDENT_39720,4.045235
ACCIDENT_39721,4.274817
ACCIDENT_39722,4.3651805
ACCIDENT_39723,4.06406
ACCIDENT_39724,4.1737065
ACCIDENT_39725,4.229884
ACCIDENT_39726,4.287303
ACCIDENT_39727,3.442386
ACCIDENT_39728,3.9909873
ACCIDENT_39729,4.167252
ACCIDENT_39730,3.8931909
ACCIDENT_39731,4.0378814
ACCIDENT_39732,3.7201588
ACCIDENT_39733,3.9300354
ACCIDENT_39734,3.7033722
ACCIDENT_39735,3.9649625
ACCIDENT_39736,4.167929
ACCIDENT_39737,3.175453
ACCIDENT_39738,4.1352606
ACCIDENT_39739,4.2485266
ACCIDENT_39740,4.2903223
ACCIDENT_39741,3.7388167
ACCIDENT_39742,3.9029
ACCIDENT_39743,4.1951904
ACCIDENT_39744,4.003789
ACCIDENT_39745,3.956662
ACCIDENT_39746,3.267828
ACCIDENT_39747,4.00645
ACCIDENT_39748,4.228849
ACCIDENT_39749,3.065838
ACCIDENT_39750,4.049182
ACCIDENT_39751,3.6584973
ACCIDENT_39752,4.2796936
ACCIDENT_39753,3.9332166
ACCIDENT_39754,4.145336
ACCIDENT_39755,3.4600575
ACCIDENT_39756,3.9983037
ACCIDENT_39757,4.11607
ACCIDENT_39758,4.020514
ACCIDENT_39759,3.297139
ACCIDENT_39760,4.0599794
ACCIDENT_39761,4.1454363
ACCIDENT_39762,3.9651337
ACCIDENT_39763,4.3104377
ACCIDENT_39764,4.1150756
ACCIDENT_39765,4.1343794
ACCIDENT_39766,3.5933337
ACCIDENT_39767,3.2546918
ACCIDENT_39768,3.4310348
ACCIDENT_39769,3.7126663
ACCIDENT_39770,4.1061845
ACCIDENT_39771,3.7388427
ACCIDENT_39772,3.628453
ACCIDENT_39773,4.092313
ACCIDENT_39774,3.799269
ACCIDENT_39775,3.2781463
ACCIDENT_39776,3.3427207
ACCIDENT_39777,4.25083
ACCIDENT_39778,3.7673957
ACCIDENT_39779,3.882804
ACCIDENT_39780,3.8869715
ACCIDENT_39781,3.790938
ACCIDENT_39782,3.8087482
ACCIDENT_39783,4.2499056
ACCIDENT_39784,4.072575
ACCIDENT_39785,3.9751215
ACCIDENT_39786,3.315846
ACCIDENT_39787,4.2278814
ACCIDENT_39788,3.444947
ACCIDENT_39789,3.8817706
ACCIDENT_39790,3.9825623
ACCIDENT_39791,3.890813
ACCIDENT_39792,3.608992
ACCIDENT_39793,4.2898207
ACCIDENT_39794,3.7264082
ACCIDENT_39795,4.4150367
ACCIDENT_39796,3.738901
ACCIDENT_39797,4.5963874
ACCIDENT_39798,4.2388215
ACCIDENT_39799,4.2570753
ACCIDENT_39800,4.2108674
ACCIDENT_39801,4.029849
ACCIDENT_39802,4.205994
ACCIDENT_39803,4.1795363
ACCIDENT_39804,4.291656
ACCIDENT_39805,3.3089678
ACCIDENT_39806,4.2205477
ACCIDENT_39807,4.6652617
ACCIDENT_39808,4.2790217
ACCIDENT_39809,4.411075
ACCIDENT_39810,3.204757
ACCIDENT_39811,3.9393494
ACCIDENT_39812,4.2079024
ACCIDENT_39813,4.100796
ACCIDENT_39814,3.8691337
ACCIDENT_39815,4.4235597
ACCIDENT_39816,4.4637556
ACCIDENT_39817,4.3610234
ACCIDENT_39818,4.6097407
ACCIDENT_39819,4.6569924
ACCIDENT_39820,4.535683
ACCIDENT_39821,4.6183434
ACCIDENT_39822,5.1966667
ACCIDENT_39823,4.243207
ACCIDENT_39824,4.4323854
ACCIDENT_39825,4.171134
ACCIDENT_39826,4.5131617
ACCIDENT_39827,4.3916554
ACCIDENT_39828,4.235596
ACCIDENT_39829,4.6215606
ACCIDENT_39830,4.4481764
ACCIDENT_39831,4.4635663
ACCIDENT_39832,4.436748
ACCIDENT_39833,4.514624
ACCIDENT_39834,4.722658
ACCIDENT_39835,3.7655447
ACCIDENT_39836,4.3621325
ACCIDENT_39837,4.228064
ACCIDENT_39838,4.466756
ACCIDENT_39839,4.8095484
ACCIDENT_39840,4.6829395
ACCIDENT_39841,4.601107
ACCIDENT_39842,4.134033
ACCIDENT_39843,4.0502195
ACCIDENT_39844,4.198805
ACCIDENT_39845,4.249784
ACCIDENT_39846,4.1403546
ACCIDENT_39847,4.051769
ACCIDENT_39848,4.233025
ACCIDENT_39849,4.0656366
ACCIDENT_39850,3.414712
ACCIDENT_39851,4.2037525
ACCIDENT_39852,4.0162687
ACCIDENT_39853,3.3581002
ACCIDENT_39854,4.1190233
ACCIDENT_39855,4.487027
ACCIDENT_39856,3.9950204
ACCIDENT_39857,4.072057
ACCIDENT_39858,4.1599345
ACCIDENT_39859,4.0737524
ACCIDENT_39860,4.200115
ACCIDENT_39861,3.3168867
ACCIDENT_39862,4.095035
ACCIDENT_39863,3.7429445
ACCIDENT_39864,2.9104269
ACCIDENT_39865,3.8975108
ACCIDENT_39866,4.282493
ACCIDENT_39867,4.2759523
ACCIDENT_39868,4.444049
ACCIDENT_39869,4.2771864
ACCIDENT_39870,4.1102815
ACCIDENT_39871,4.332276
ACCIDENT_39872,4.209834
ACCIDENT_39873,4.1340632
ACCIDENT_39874,4.100304
ACCIDENT_39875,4.519274
