iter	RMSE
0	3.212979469
1	3.208400413
2	3.204448651
3	3.201031639
4	3.197874755
5	3.195373095
6	3.192790392
7	3.190497935
8	3.188465391
9	3.186871447
10	3.184509258
11	3.183013012
12	3.181503402
13	3.18042077
14	3.179283032
15	3.178448123
16	3.177308921
17	3.17625287
18	3.175578661
19	3.174888128
20	3.17413516
21	3.173173818
22	3.172069631
23	3.171447824
24	3.170761868
25	3.170169828
26	3.169442188
27	3.168695888
28	3.167761162
29	3.167002928
30	3.16658235
31	3.165804549
32	3.165317569
33	3.164805093
34	3.164234003
35	3.163798844
36	3.163448894
37	3.163092508
38	3.162615851
39	3.161794211
40	3.161209176
41	3.160798507
42	3.160102175
43	3.159661089
44	3.159075209
45	3.158385083
46	3.157777978
47	3.15720351
48	3.1565961
49	3.156138258
50	3.155841156
51	3.155462227
52	3.155251968
53	3.15484273
54	3.154456451
55	3.153909382
56	3.153245043
57	3.152875994
58	3.152299231
59	3.151966177
60	3.151407133
61	3.151029793
62	3.150678423
63	3.150342818
64	3.149965623
65	3.149643155
66	3.149228028
67	3.148821326
68	3.148417993
69	3.147983128
70	3.147747142
71	3.147414557
72	3.146680917
73	3.14624295
74	3.145930272
75	3.145420511
76	3.14503155
77	3.144559092
78	3.144112283
79	3.143791701
80	3.14335131
81	3.142902767
82	3.142494234
83	3.142108706
84	3.1417829
85	3.141608184
86	3.140961043
87	3.140706432
88	3.140423566
89	3.140274349
90	3.139867242
91	3.139668283
92	3.139183306
93	3.138830856
94	3.138811846
95	3.13863556
96	3.138154095
97	3.137880685
98	3.137512835
99	3.137409427
100	3.137201845
101	3.136764279
102	3.136365789
103	3.13615374
104	3.135695523
105	3.135256908
106	3.135103559
107	3.134656746
108	3.134483604
109	3.134144599
110	3.133641639
111	3.133206986
112	3.132859394
113	3.132633998
114	3.132417051
115	3.131753285
116	3.131056717
117	3.130668109
118	3.130356664
119	3.129810862
120	3.129620176
121	3.129275055
122	3.129025894
123	3.128770781
124	3.128544383
125	3.128333508
126	3.127892496
127	3.127694719
128	3.127281063
129	3.126942728
130	3.126615804
131	3.126196184
132	3.125812729
133	3.125612859
134	3.125242421
135	3.124927823
136	3.124516966
137	3.124154389
138	3.12379465
139	3.123404992
140	3.123128982
141	3.1229279
142	3.122469717
143	3.122188756
144	3.121840955
145	3.121304469
146	3.120827768
147	3.120543559
148	3.120025086
149	3.119605565
150	3.119237921
151	3.118888158
152	3.118387082
153	3.118044065
154	3.11754106
155	3.117417388
156	3.117275649
157	3.117016101
158	3.116401159
159	3.116035908
160	3.115469892
161	3.115082978
162	3.114733187
163	3.114264014
164	3.113730664
165	3.113452283
166	3.113199286
167	3.112544057
168	3.112034362
169	3.111521635
170	3.111160517
171	3.110927595
172	3.110494641
173	3.10989711
174	3.109481155
175	3.109071198
176	3.108430818
177	3.107949867
178	3.107645747
179	3.107419201
180	3.107231055
181	3.106947352
182	3.106607371
183	3.106290705
184	3.105994193
185	3.105738205
186	3.105371811
187	3.10500554
188	3.104625517
189	3.104239325
190	3.103954286
191	3.103467263
192	3.102923694
193	3.102541146
194	3.10218211
195	3.101822964
196	3.101464119
197	3.101263577
198	3.100698877
199	3.100363616
200	3.099708526
201	3.099222868
202	3.099091995
203	3.098666202
204	3.098389195
205	3.097574146
206	3.096854224
207	3.096419866
208	3.096081073
209	3.095791063
210	3.09556365
211	3.094956026
212	3.094552831
213	3.094147493
214	3.093897656
215	3.093571331
216	3.093237744
217	3.09305774
218	3.092804956
219	3.092292295
220	3.091993429
221	3.091362978
222	3.091067094
223	3.090613191
224	3.090326726
225	3.089721977
226	3.089252789
227	3.088730005
228	3.088444153
229	3.088003848
230	3.087802567
231	3.087453886
232	3.087124122
233	3.086665584
234	3.086167861
235	3.085899306
236	3.085439535
237	3.085210108
238	3.084735764
239	3.084375046
240	3.083895912
241	3.083548236
242	3.083206117
243	3.082871062
244	3.082334954
245	3.08205469
246	3.081598124
247	3.081245637
248	3.08086066
249	3.080262027
250	3.079870195
251	3.079627316
252	3.079166167
253	3.078828118
254	3.078614358
255	3.078263842
256	3.078012844
257	3.077586302
258	3.077242653
259	3.076797226
260	3.076493678
261	3.076060473
262	3.075831021
263	3.075478896
264	3.07516986
265	3.074889034
266	3.074503107
267	3.074175843
268	3.073823114
269	3.073446137
270	3.073176974
271	3.072928648
272	3.072685331
273	3.072318409
274	3.07203156
275	3.071787662
276	3.071516281
277	3.071215034
278	3.070492776
279	3.070290856
280	3.069826082
281	3.069391847
282	3.069012525
283	3.068562345
284	3.068359051
285	3.068095691
286	3.067763859
287	3.067303197
288	3.06694489
289	3.066525674
290	3.066186133
291	3.065952952
292	3.06567326
293	3.065438093
294	3.065093123
295	3.064843169
296	3.064524391
297	3.064153591
298	3.06393372
299	3.063570577
300	3.063205002
301	3.062829513
302	3.062559609
303	3.062156541
304	3.061823834
305	3.061414076
306	3.061141909
307	3.060873594
308	3.060640057
309	3.060460451
310	3.060145845
311	3.059798069
312	3.059488516
313	3.059079333
314	3.058739173
315	3.05847993
316	3.058242689
317	3.057793777
318	3.057544178
319	3.057101437
320	3.05681149
321	3.056476602
322	3.056161889
323	3.055951272
324	3.055661916
325	3.055494882
326	3.055191431
327	3.054776858
328	3.054459773
329	3.054200669
330	3.053983012
331	3.053615359
332	3.053425466
333	3.053148279
334	3.05292264
335	3.052682132
336	3.052496219
337	3.052249986
338	3.051784561
339	3.051565978
340	3.051227789
341	3.051046087
342	3.050591011
343	3.049904025
344	3.049597809
345	3.049405332
346	3.049157621
347	3.048816932
348	3.048562505
349	3.048348232
350	3.048051355
351	3.047652434
352	3.047375085
353	3.046713675
354	3.046469595
355	3.046178799
356	3.045916552
357	3.045460476
358	3.045137977
359	3.044572556
360	3.044065486
361	3.043691738
362	3.043463387
363	3.043222722
364	3.042991136
365	3.042743736
366	3.042325706
367	3.041552228
368	3.041377041
369	3.041066796
370	3.040336281
371	3.040141647
372	3.039931828
373	3.039616159
374	3.039414308
375	3.03877742
376	3.038281077
377	3.037908378
378	3.037581333
379	3.037243216
380	3.036751647
381	3.036440326
382	3.036200204
383	3.036029869
384	3.035574829
385	3.035366322
386	3.03508013
387	3.034911637
388	3.034748665
389	3.034510921
390	3.033896143
391	3.033658906
392	3.033398037
393	3.033068023
394	3.032904826
395	3.032555321
396	3.032205456
397	3.03189654
398	3.031642359
399	3.031485996
400	3.031095932
401	3.030711414
402	3.030393887
403	3.03021706
404	3.029856356
405	3.029591635
406	3.029466623
407	3.029330846
408	3.029187084
409	3.028702922
410	3.02824361
411	3.027648247
412	3.027290301
413	3.026993362
414	3.026562059
415	3.026189548
416	3.026099033
417	3.025908852
418	3.025414524
419	3.025136533
420	3.024812846
421	3.024473264
422	3.024309123
423	3.024121707
424	3.023780176
425	3.023561874
426	3.023257852
427	3.022774927
428	3.022556771
429	3.022264545
430	3.022039968
431	3.021780936
432	3.02157338
433	3.021356292
434	3.021010996
435	3.020804272
436	3.020770965
437	3.020527726
438	3.020199296
439	3.019825222
440	3.019452946
441	3.019260975
442	3.019049566
443	3.018782049
444	3.018365899
445	3.018191967
446	3.017922411
447	3.01763378
448	3.01745564
449	3.016881432
450	3.016532236
451	3.016317441
452	3.016139124
453	3.015964019
454	3.015697518
455	3.015414724
456	3.015036721
457	3.01478023
458	3.014532246
459	3.014120601
460	3.01386202
461	3.013686195
462	3.013404662
463	3.013145635
464	3.012976378
465	3.012708489
466	3.012398707
467	3.012215651
468	3.011940371
469	3.011386546
470	3.011134587
471	3.010908141
472	3.010685634
473	3.01051972
474	3.010268989
475	3.010119697
476	3.009940677
477	3.009656263
478	3.009476679
479	3.009390788
480	3.009167239
481	3.008906766
482	3.008457142
483	3.008301163
484	3.008077211
485	3.007851273
486	3.007704109
487	3.007427049
488	3.007216635
489	3.006955145
490	3.006707279
491	3.00616672
492	3.005975145
493	3.005656412
494	3.005452693
495	3.005254605
496	3.004991473
497	3.004785419
498	3.004378114
499	3.003858916
500	3.003729653
501	3.003438051
502	3.003180221
503	3.003020783
504	3.002734379
505	3.00252185
506	3.002303617
507	3.002038713
508	3.001747973
509	3.001466284
510	3.000967859
511	3.000634395
512	3.000282019
513	3.000105389
514	2.999885167
515	2.999222199
516	2.999059293
517	2.998864014
518	2.998693327
519	2.998535922
520	2.998328302
521	2.998120667
522	2.997917934
523	2.997653345
524	2.997420127
525	2.997229187
526	2.99674657
527	2.99660007
528	2.996409294
529	2.996061181
530	2.995919331
531	2.995482808
532	2.995017204
533	2.994547713
534	2.994373809
535	2.993940097
536	2.993799826
537	2.993639137
538	2.993372843
539	2.99315414
540	2.992970091
541	2.992734193
542	2.992531683
543	2.99234859
544	2.992062358
545	2.991842353
546	2.99163377
547	2.991517158
548	2.991212548
549	2.99105444
550	2.990805559
551	2.990574038
552	2.990331335
553	2.990137814
554	2.990035949
555	2.989784215
556	2.989629186
557	2.989435853
558	2.989319449
559	2.989180039
560	2.988951727
561	2.988788901
562	2.988638535
563	2.98848917
564	2.988071048
565	2.987686806
566	2.987432367
567	2.987270054
568	2.986965516
569	2.986820602
570	2.986706511
571	2.98627386
572	2.9860146
573	2.985883782
574	2.985584136
575	2.985399927
576	2.985123842
577	2.984906204
578	2.984275272
579	2.984020303
580	2.983715943
581	2.983486028
582	2.983298984
583	2.982922023
584	2.98275993
585	2.982496655
586	2.982127314
587	2.981801227
588	2.981402508
589	2.981250242
590	2.981049221
591	2.980905583
592	2.980719268
593	2.980579919
594	2.980444485
595	2.980204218
596	2.979844418
597	2.979544685
598	2.979376581
599	2.979121292
600	2.978920672
601	2.978780172
602	2.978489435
603	2.978330278
604	2.978034644
605	2.977904217
606	2.977363382
607	2.977074463
608	2.976925908
609	2.976664429
610	2.976510826
611	2.976318169
612	2.976161509
613	2.975966585
614	2.97559242
615	2.975330713
616	2.975155746
617	2.974913349
618	2.974578307
619	2.974262872
620	2.974064295
621	2.973920964
622	2.973612696
623	2.973445069
624	2.973105662
625	2.972892325
626	2.972676466
627	2.972521993
628	2.972284617
629	2.971905437
630	2.97151114
631	2.97126818
632	2.970901481
633	2.970692791
634	2.970440764
635	2.970156646
636	2.970007481
637	2.969868477
638	2.969722585
639	2.969597254
640	2.969243834
641	2.969032946
642	2.968691943
643	2.968416019
644	2.968086956
645	2.967912397
646	2.967691066
647	2.967551775
648	2.967180251
649	2.966885275
650	2.966738301
651	2.966566384
652	2.966248466
653	2.966075658
654	2.965768775
655	2.965380349
656	2.965137842
657	2.964965776
658	2.964606613
659	2.964475825
660	2.964179515
661	2.963962044
662	2.963820982
663	2.963602098
664	2.963337126
665	2.963093393
666	2.962952284
667	2.962692648
668	2.962418869
669	2.962266118
670	2.962134114
671	2.961927633
672	2.961528858
673	2.961361338
674	2.961095137
675	2.960843768
676	2.96068253
677	2.96045081
678	2.960236604
679	2.960143439
680	2.960022181
681	2.959966841
682	2.9596623
683	2.959447351
684	2.959236412
685	2.958978501
686	2.958747165
687	2.958628413
688	2.958397397
689	2.9583047
690	2.958186408
691	2.957987476
692	2.957843435
693	2.957666632
694	2.957532492
695	2.957331732
696	2.957283947
697	2.957068872
698	2.956948418
699	2.956784495
700	2.956612888
701	2.956400683
702	2.956205984
703	2.956063556
704	2.955760803
705	2.955533622
706	2.955253828
707	2.955178058
708	2.955022281
709	2.954852303
710	2.954629829
711	2.954458385
712	2.954187004
713	2.953856204
714	2.953743273
715	2.953528081
716	2.953394778
717	2.953233925
718	2.952865435
719	2.952737385
720	2.952525414
721	2.952334409
722	2.952150678
723	2.951938953
724	2.951626759
725	2.951379681
726	2.95109595
727	2.950906471
728	2.950719051
729	2.950472257
730	2.950173366
731	2.94985906
732	2.949672625
733	2.949385813
734	2.949240574
735	2.949032433
736	2.94872367
737	2.948526269
738	2.948304187
739	2.948172261
740	2.94796288
741	2.947711575
742	2.947449787
743	2.947239482
744	2.947108985
745	2.946940931
746	2.946741112
747	2.946554238
748	2.946376069
749	2.946225952
750	2.945965643
751	2.945707251
752	2.945464444
753	2.94523203
754	2.94498029
755	2.944800996
756	2.944672264
757	2.944534649
758	2.944260478
759	2.944054307
760	2.943959749
761	2.943822445
762	2.943672033
763	2.943480796
764	2.943184019
765	2.943068044
766	2.942974074
767	2.942441137
768	2.942191816
769	2.942087444
770	2.941946333
771	2.941739865
772	2.941490501
773	2.941299935
774	2.94113414
775	2.940881079
776	2.940758499
777	2.940421646
778	2.940250198
779	2.940059137
780	2.939872154
781	2.939598083
782	2.939378121
783	2.939035498
784	2.938621779
785	2.93838588
786	2.938159346
787	2.937858631
788	2.937731643
789	2.937537549
790	2.937429606
791	2.937295725
792	2.937030369
793	2.936908305
794	2.936611538
795	2.936399782
796	2.936281546
797	2.93611838
798	2.935983523
799	2.935763624
800	2.935513773
801	2.935422446
802	2.935232519
803	2.934894415
804	2.934688439
805	2.934580797
806	2.934343021
807	2.933982007
808	2.933849985
809	2.933675653
810	2.933563128
811	2.933359037
812	2.933146511
813	2.932902053
814	2.932562677
815	2.932306962
816	2.932192511
817	2.932033273
818	2.931673529
819	2.931507662
820	2.931282052
821	2.931128515
822	2.930923181
823	2.930802421
824	2.930566345
825	2.930323157
826	2.930074317
827	2.929999165
828	2.929856311
829	2.929584076
830	2.929329834
831	2.929140071
832	2.928886136
833	2.928389179
834	2.928156318
835	2.92784086
836	2.927738521
837	2.927413849
838	2.927172763
839	2.927066344
840	2.926932893
841	2.926763498
842	2.92653749
843	2.926355244
844	2.926084701
845	2.92592287
846	2.9255438
847	2.925352886
848	2.925280694
849	2.925166601
850	2.925042651
851	2.924823917
852	2.924671493
853	2.924460025
854	2.924333681
855	2.923843542
856	2.923687406
857	2.923448718
858	2.923322413
859	2.923117876
860	2.922909459
861	2.922754788
862	2.922523311
863	2.922331702
864	2.922158142
865	2.922040582
866	2.921940262
867	2.921706736
868	2.921553787
869	2.92131879
870	2.921142556
871	2.920911436
872	2.920707352
873	2.920489015
874	2.920250512
875	2.920029991
876	2.919790681
877	2.91962602
878	2.919460635
879	2.919235602
880	2.919052457
881	2.918766893
882	2.918691237
883	2.918583391
884	2.91848365
885	2.918299839
886	2.918192379
887	2.918029177
888	2.917812156
889	2.917612047
890	2.917336297
891	2.917049715
892	2.916884942
893	2.916566715
894	2.916371826
895	2.916185606
896	2.916055523
897	2.915965488
898	2.915808255
899	2.915565605
900	2.915402966
901	2.915076775
902	2.914922626
903	2.914792416
904	2.914686037
905	2.914550606
906	2.914368601
907	2.914293602
908	2.913999284
909	2.913742271
910	2.913565669
911	2.913283194
912	2.913027369
913	2.912711366
914	2.91258932
915	2.912341009
916	2.912040527
917	2.911783407
918	2.911541476
919	2.911433446
920	2.911197179
921	2.911121446
922	2.911023279
923	2.910825682
9926	2.8762018359927	2.8760026369928	2.8759108179929	2.8757381549930	2.8754646829931	2.8750533579932	2.8748815829933	2.87476005
934	2.87446877
935	2.874389781
936	2.874114166
937	2.873983608
938	2.873810252
939	2.873604805
940	2.873397234
941	2.873258954
942	2.873093885
943	2.872929291
944	2.872673672
945	2.872542256
946	2.872432745
947	2.872331848
948	2.872175074
949	2.872069666
950	2.871897282
951	2.871756191
952	2.871394083
953	2.871201289
954	2.871065365
955	2.870828167
956	2.870680955
957	2.870538882
958	2.870367018
959	2.87012954
960	2.870003865
961	2.869763478
962	2.869560963
963	2.869265316
964	2.869117278
965	2.869004247
966	2.868704774
967	2.868409099
968	2.868232275
969	2.867961021
970	2.867763037
971	2.867460075
972	2.86727899
973	2.867119204
974	2.866951207
975	2.86675441
976	2.866668004
977	2.866584826
978	2.866396918
979	2.86634823
980	2.866101429
981	2.865889152
982	2.865523676
983	2.86541464
984	2.865292546
985	2.865195787
986	2.864846667
987	2.864595677
988	2.864350619
989	2.864119283
990	2.864007981
991	2.863800778
992	2.863402821
993	2.863278538
994	2.863134594
995	2.862893008
996	2.862576416
997	2.862435266
998	2.86225537
999	2.862132693
689
998	2.896613773
999	2.896436301
