ID,ECLO
ACCIDENT_39609,4.2703156
ACCIDENT_39610,3.8892899
ACCIDENT_39611,5.1015425
ACCIDENT_39612,4.666385
ACCIDENT_39613,4.824456
ACCIDENT_39614,4.5433707
ACCIDENT_39615,4.598143
ACCIDENT_39616,3.7575147
ACCIDENT_39617,4.5092063
ACCIDENT_39618,4.6715593
ACCIDENT_39619,4.5777807
ACCIDENT_39620,3.5979738
ACCIDENT_39621,4.5127673
ACCIDENT_39622,3.8008223
ACCIDENT_39623,3.5969682
ACCIDENT_39624,4.635777
ACCIDENT_39625,4.816336
ACCIDENT_39626,4.6000357
ACCIDENT_39627,4.6576157
ACCIDENT_39628,4.5845957
ACCIDENT_39629,3.9345918
ACCIDENT_39630,3.5112662
ACCIDENT_39631,4.1647353
ACCIDENT_39632,4.448558
ACCIDENT_39633,4.4410233
ACCIDENT_39634,4.438984
ACCIDENT_39635,4.530728
ACCIDENT_39636,4.70784
ACCIDENT_39637,3.5614872
ACCIDENT_39638,4.630495
ACCIDENT_39639,4.581079
ACCIDENT_39640,4.4770293
ACCIDENT_39641,4.5347457
ACCIDENT_39642,3.6569128
ACCIDENT_39643,4.510578
ACCIDENT_39644,3.3708947
ACCIDENT_39645,3.5198662
ACCIDENT_39646,4.6426325
ACCIDENT_39647,4.748999
ACCIDENT_39648,4.711492
ACCIDENT_39649,3.3815684
ACCIDENT_39650,3.5320973
ACCIDENT_39651,3.627999
ACCIDENT_39652,4.361139
ACCIDENT_39653,3.911254
ACCIDENT_39654,3.4684265
ACCIDENT_39655,3.9459136
ACCIDENT_39656,3.8888564
ACCIDENT_39657,4.103319
ACCIDENT_39658,4.2221518
ACCIDENT_39659,3.6767037
ACCIDENT_39660,4.3115053
ACCIDENT_39661,4.09859
ACCIDENT_39662,4.054249
ACCIDENT_39663,4.1141
ACCIDENT_39664,3.8515503
ACCIDENT_39665,4.0779004
ACCIDENT_39666,3.427445
ACCIDENT_39667,3.9788969
ACCIDENT_39668,3.350972
ACCIDENT_39669,3.5736396
ACCIDENT_39670,4.061343
ACCIDENT_39671,4.478429
ACCIDENT_39672,4.123582
ACCIDENT_39673,3.5997052
ACCIDENT_39674,4.3950167
ACCIDENT_39675,4.02429
ACCIDENT_39676,4.2354813
ACCIDENT_39677,3.3689578
ACCIDENT_39678,3.7861183
ACCIDENT_39679,4.2512755
ACCIDENT_39680,4.2344913
ACCIDENT_39681,3.4306138
ACCIDENT_39682,3.91584
ACCIDENT_39683,3.7580857
ACCIDENT_39684,3.6564984
ACCIDENT_39685,4.3013844
ACCIDENT_39686,4.5441394
ACCIDENT_39687,4.554633
ACCIDENT_39688,3.4861665
ACCIDENT_39689,4.3048697
ACCIDENT_39690,4.052663
ACCIDENT_39691,3.6306639
ACCIDENT_39692,4.2125134
ACCIDENT_39693,3.7404964
ACCIDENT_39694,4.2407756
ACCIDENT_39695,4.2176485
ACCIDENT_39696,4.3459024
ACCIDENT_39697,4.1508975
ACCIDENT_39698,4.245886
ACCIDENT_39699,3.8616877
ACCIDENT_39700,4.153283
ACCIDENT_39701,4.3279104
ACCIDENT_39702,4.1061435
ACCIDENT_39703,4.1027465
ACCIDENT_39704,4.195464
ACCIDENT_39705,4.0790234
ACCIDENT_39706,3.49486
ACCIDENT_39707,4.513507
ACCIDENT_39708,4.535256
ACCIDENT_39709,4.1723166
ACCIDENT_39710,3.6881375
ACCIDENT_39711,3.9400058
ACCIDENT_39712,3.7504027
