id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013873676979346253
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.004334484497647274,0.03350946604489799,0.11710753656039848
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.009915184128082705,0.0442463335242236,0.12789247106884438,0.3287273123309878
0.csv_Day7_6h30m,0.0,0.006433850815169492,0.034889783442894354,0.09170421090901029,0.16616067014925373,0.23817253486126902,0.3237480720309681,0.514282145347994,0.9017789416005144
0.csv_Day7_7h00m,0.17179434432186702,0.33995336883460836,0.49936319168519144,0.7089869713637885,0.9069323052940361,1.1219437068670566,1.3555526677478016,1.6937236683249985,2.314831211789256
0.csv_Day7_7h30m,1.9924750927009653,2.416771607158219,2.7664644967884082,3.1063303700896765,3.4449045161990126,3.8567766539347135,4.190813346661293,4.747472598174263,5.560811276082825
0.csv_Day7_8h00m,7.549513282004391,8.029270203813734,8.40076176869024,8.841725417687275,9.227131527037596,9.699909817683885,10.115247670784587,10.712276178520908,11.567931754575298
0.csv_Day7_8h30m,13.407701763039917,13.908062928241762,14.366940633758757,14.802969927854127,15.321994176252314,15.791737035274375,16.32222024087872,16.977457174277767,17.91828011699802
0.csv_Day7_9h00m,19.17311979902392,19.66395875857109,20.191447493913746,20.69047303762007,21.192167589889436,21.755297702793722,22.268724831369273,22.965138541483494,23.89040437619749
0.csv_Day7_9h30m,24.464375557165255,25.145241770292564,25.647903048100186,26.170012957834864,26.711807002609028,27.267658247919236,27.767400308867366,28.497713037999016,29.73049708835506
0.csv_Day7_10h00m,29.21326814994038,30.022830216624286,30.614982363017244,31.111874590722373,31.717674828495717,32.246431399488834,32.79748898372201,33.640442368813595,34.6871200469588
0.csv_Day7_10h30m,33.288519584164085,34.1388076094474,34.649077306828204,35.19463696712032,35.73102621271744,36.31090198923903,36.85354619034689,37.59005931019224,38.662836874192315
0.csv_Day7_11h00m,36.393166753199765,37.19304902155227,37.78616636791036,38.4053392602744,38.88562104148586,39.45180301566305,39.987705205424206,40.646631450609085,41.681383048144056
0.csv_Day7_11h30m,37.62917478112477,38.39279644081385,39.04432495693898,39.615249956603556,40.08914693493088,40.61479664055823,41.083518369337625,41.79111483068134,42.76658952925727
