id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012767177799854592
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0005881117146615084,0.007498432692441479,0.027422061991839372,0.06541889121302323,0.131831745056093,0.22787055843891377
0.csv_Day7_7h00m,0.0,0.046589069084023674,0.11504956538768078,0.17934557602442214,0.3118514661122198,0.4337622419124138,0.5404865196034556,0.7043351900254545,1.0075183009521493
0.csv_Day7_7h30m,1.3596043755546319,1.6338922811497107,1.8231406332576252,2.0262102833394535,2.2927332798631417,2.4663919623678234,2.667411754503932,3.1367351766101956,3.648324482492556
0.csv_Day7_8h00m,6.689177896659128,7.098636282045947,7.315196827160535,7.570408827323186,7.853282353251681,8.042030497305849,8.369212826301492,8.730753455550406,9.485150388883254
0.csv_Day7_8h30m,12.298505739326666,12.765017479481516,13.150347815059579,13.397313091153492,13.683246052233027,13.937561421014863,14.24977330146713,14.701280158769194,15.726899713171386
0.csv_Day7_9h00m,17.702279798929244,18.551938604802775,18.83866354023354,19.141580965233654,19.467989732559985,19.768408597067683,20.192069805375763,20.68365520693908,21.445489264001267
0.csv_Day7_9h30m,22.57432426113292,23.598648953795124,24.057071314359167,24.538516798891806,24.868904107213304,25.20183875766152,25.68896409848221,26.10318517310495,27.184947939244022
0.csv_Day7_10h00m,27.27627729757097,28.40081442810625,28.928988800773393,29.434298447968672,29.6902258111351,30.192586645244518,30.573612871846628,31.371726165397508,32.160105531363335
0.csv_Day7_10h30m,31.525674472116673,32.48643421575437,33.139282416132765,33.581612264439464,33.91858749950469,34.2963033277278,34.8195970684612,35.38067953685928,36.49339662976964
0.csv_Day7_11h00m,34.095570227424226,35.495565785811564,36.11926685796835,36.70541025701912,37.12338264515104,37.51846669864593,38.001640829190016,38.56343644023473,39.477656719726575
0.csv_Day7_11h30m,35.2469750638426,36.78949816310943,37.51926776060231,37.95257975120577,38.426766734193436,38.82975870105638,39.365952816622844,39.95954573750015,40.81095210757973
0.csv_Day7_12h00m,36.205085395808,37.200562781763516,37.90815613122832,38.5890268306468,38.97472105510148,39.3347380518514,40.06114422466118,40.61470271297145,41.570932066281934
