iter	RMSE
0	705.7799413
1	696.7267474
2	688.9807349
3	682.2920721
4	675.9876865
5	669.6119439
6	664.2837961
7	659.6341064
8	655.327935
9	651.0002755
10	647.7887088
11	644.3618653
12	641.4141335
13	638.3653334
14	635.9245807
15	633.5018065
16	631.3338997
17	629.4020813
18	627.46251
19	625.5155172
20	623.6556709
21	622.3398715
22	620.4734521
23	619.4815069
24	617.9396901
25	616.8040915
26	615.6342198
27	614.6392589
28	613.724228
29	612.5703488
30	611.2442426
31	610.3108091
32	609.4612252
33	608.7975032
34	608.2533542
35	607.6589629
36	606.451728
37	605.7354078
38	604.8812026
39	604.0725101
40	603.2737791
41	602.6157555
42	602.0563111
43	601.1676711
44	600.2314233
45	599.562424
46	599.3348159
47	598.9024181
48	598.1257631
49	596.9394925
50	596.2303294
51	595.7196251
52	594.9629733
53	594.4040386
54	593.9751401
55	593.2299339
56	592.8948303
57	592.6576467
58	592.0622484
59	591.5409006
60	591.1717774
61	590.7829521
62	590.1316541
63	589.7751669
64	589.6449399
65	589.3304631
66	589.0402504
67	588.5561745
68	588.1123881
69	587.7961223
70	587.3664165
71	586.7177584
72	586.3253031
73	585.957914
74	585.7497717
75	585.4993404
76	585.3407229
77	585.2175306
78	584.8562913
79	584.3493949
80	584.2121931
81	584.0161726
82	583.7358165
83	583.287665
84	582.8598028
85	582.6699832
86	582.2865117
87	581.5498958
88	581.1623638
89	580.9905865
90	580.8865269
91	580.4619686
92	580.3602347
93	580.2604642
94	580.0711674
95	579.7621304
96	579.5733898
97	579.1027374
98	578.7540154
99	578.6422671
100	578.51507
101	578.1930189
102	577.855479
103	577.6536398
104	577.4033115
105	576.6618407
106	576.594099
107	576.4601095
108	576.4012184
109	576.3472123
110	576.1917666
111	576.0479056
112	575.6171867
113	575.058421
114	574.8280187
115	574.6255394
116	574.3270538
117	574.1689634
118	573.9602856
119	573.5120691
120	573.3271549
121	572.7524056
122	572.593503
123	572.4150749
124	572.2335435
125	572.0468588
126	571.9143988
127	571.7846477
128	571.4369914
129	571.2420818
130	570.5632017
131	570.2505539
132	569.7861197
133	569.5712243
134	569.3448934
135	569.0838107
136	568.8526023
137	568.4737403
138	568.3720015
139	568.1875133
140	567.925242
141	567.2943291
142	566.9016444
143	566.4036573
144	566.0510549
145	566.0077451
146	565.872092
147	565.6099346
148	565.46816
149	565.3916248
150	565.1686498
151	564.6745684
152	564.567207
153	564.3223881
154	564.2924609
155	564.1327502
156	563.8782242
157	563.6823933
158	563.5571707
159	563.4005147
160	563.3302
161	563.2272197
162	562.9153848
163	562.7850008
164	562.6729293
165	562.5994871
166	562.3431347
167	562.182343
168	561.6351263
169	561.4877858
170	561.348052
171	561.0619151
172	560.8850369
173	560.7884532
174	560.2865644
175	559.7133878
176	559.53926
177	559.2707397
178	558.9168567
179	558.2226305
180	558.1959624
181	558.1204312
182	557.8839512
183	557.812855
184	557.7674718
185	557.5044045
186	557.1110845
187	557.0117154
188	556.8276828
189	556.2180908
190	556.1709849
191	556.1072354
192	556.0711587
193	556.0034975
194	555.8427381
195	555.6945429
196	555.1445455
197	554.9270861
198	554.8421812
199	554.7198348
200	554.4063678
201	554.293607
202	554.2390804
203	554.0389206
204	553.7362404
205	553.6270088
206	553.5135991
207	553.4548485
208	553.2143781
209	553.0076541
210	552.899762
211	552.8040042
212	552.7342544
213	552.6615163
214	552.4901377
215	552.4180959
216	552.0614021
217	551.8897684
218	551.769203
219	551.5532361
220	551.5041232
221	551.4228122
222	551.2484186
223	551.1018515
224	550.9815238
225	550.8673297
226	550.4331099
227	550.3534328
228	550.208619
229	550.1231702
230	550.032437
231	549.927105
232	549.6548265
233	549.5590586
234	549.4965264
235	549.4645269
236	549.2280684
237	549.045865
238	548.8798316
239	548.6189374
240	548.3909219
241	548.3010843
242	547.9158572
243	547.8083612
244	547.5331533
245	547.4683653
246	547.4061364
247	547.2796656
248	547.0217688
249	546.6955953
250	546.483267
251	545.9470265
252	545.7835278
253	545.6876733
254	545.4914571
255	545.3893632
256	545.3335624
257	545.2399428
258	545.0923783
259	544.7104931
260	544.5769147
261	544.473083
262	544.2781284
263	544.1754933
264	543.9832949
265	543.9164254
266	543.6643247
267	543.4088359
268	543.1779575
269	543.1142355
270	542.9228592
271	542.537445
272	542.2761527
273	542.1347698
274	542.0424135
275	541.7777703
276	541.1882608
277	540.9290826
278	540.7208887
279	540.5283071
280	540.3172128
281	540.1345475
282	540.0196282
283	539.9093037
284	539.7473632
285	539.3628636
286	538.9062263
287	538.7951875
288	538.6538053
289	538.5752764
290	538.3447409
291	538.2349972
292	538.1721244
293	538.1539639
294	538.0130626
295	537.6842602
296	537.5330489
297	537.3026848
298	536.8715368
299	536.6645502
300	536.2611921
301	536.1911903
302	536.0542289
303	535.902348
304	535.8453749
305	535.674434
306	535.2950394
307	535.1435702
308	534.7086351
309	534.4875852
310	534.3048254
311	534.018429
312	533.9279747
313	533.7849604
314	533.639019
315	533.4840812
316	533.3588846
317	533.1270186
318	533.0285837
319	532.8219196
320	532.3176529
321	531.9217067
322	531.6454967
323	531.5856669
324	531.5087747
325	531.4092277
326	531.2489448
327	531.1735973
328	530.8870492
329	530.8713205
330	530.7756227
331	530.3954636
332	530.2813934
333	530.0636887
334	529.9420367
335	529.8163965
336	529.4936193
337	529.0177139
338	529.0084172
339	528.8637864
340	528.7657617
341	528.3218127
342	528.2512353
343	528.0942045
344	528.0058691
345	527.6720423
346	527.3397845
347	526.638488
348	526.3034153
349	526.274178
350	525.6894633
351	525.6098776
352	525.0175172
353	524.4748574
354	523.9475674
355	523.7345419
356	523.3662893
357	523.2185024
358	523.1540946
359	523.0122429
360	522.9885967
361	522.7450454
362	522.5219024
363	522.3457225
364	521.9170321
365	521.7554161
366	521.6406266
367	521.564613
368	521.4523891
369	521.2371042
370	521.0075135
371	520.9099634
372	520.7828921
373	520.5534159
374	520.1679015
375	519.9213881
376	519.8517115
377	519.7534645
378	519.6431865
379	519.5638813
380	519.3943652
381	519.2622878
382	518.9434558
383	518.6538693
384	518.3506807
385	518.3172433
386	517.9947779
387	517.7645526
388	517.6694945
389	517.5776007
390	517.5453874
391	517.4474323
392	517.4324714
393	517.2999152
394	517.1102825
395	516.9585611
396	516.9327919
397	516.6974967
398	516.4817266
399	516.3531002
400	516.2444784
401	516.0018926
402	515.8767394
403	515.6372875
404	515.552087
405	515.1817173
406	515.1414207
407	514.6476942
408	514.397492
409	513.8870717
410	513.8270606
411	513.5807243
412	513.4068631
413	513.2506131
414	513.2077726
415	512.9629279
416	512.934405
417	512.8480038
418	512.6783712
419	512.5435425
420	512.5000089
421	512.3383932
422	512.2037446
423	511.8965132
424	511.8443177
425	511.6844079
426	511.5269544
427	511.4196421
428	511.3154279
429	511.2166789
430	510.7821728
431	510.5131168
432	510.1506137
433	510.0624922
434	509.7700271
435	509.5311081
436	509.2848217
437	508.9026286
438	508.7984625
439	508.5574488
440	508.4278567
441	508.345451
442	508.2910017
443	508.2464628
444	508.162102
445	508.0820816
446	507.8295196
447	507.7083213
448	507.4056143
449	507.3011262
450	507.1249155
451	506.6552574
452	506.5715592
453	506.298219
454	506.1309111
455	506.0362933
456	505.8785222
457	505.7453619
458	505.6667609
459	505.5695666
460	505.2756917
461	505.2211561
462	504.8651614
463	504.7669055
464	504.5190661
465	504.2686385
466	504.1803017
467	504.0768412
468	503.8750649
469	503.4955859
470	503.3812569
471	502.4895289
472	502.329192
473	502.2266683
474	502.0420979
475	501.9364455
476	501.8893277
477	501.8009338
478	501.7327934
479	501.6624834
480	501.6318014
481	501.5139156
482	501.4376993
483	501.2160783
484	501.1096324
485	500.9375459
486	500.8456527
487	500.6555181
488	500.4286227
489	500.3720342
490	500.3316756
491	500.251641
492	500.1073418
493	499.8823631
494	499.6645473
495	499.5479088
496	499.3479429
497	499.2934068
498	499.2312612
499	499.0358634
500	498.7929732
501	498.7499285
502	498.460832
503	498.2966852
504	498.2111814
505	498.0723654
506	497.8548524
507	497.6398979
508	497.5511966
509	497.5250793
510	497.398481
511	497.1827198
512	496.9416583
513	496.750048
514	496.4991868
515	496.3810995
516	496.3395745
517	496.2302345
518	496.1107463
519	496.0174691
520	495.6433727
521	495.4887352
522	495.290299
523	495.2041104
524	494.7291231
525	494.6711941
526	494.527935
527	494.4853466
528	494.3454113
529	494.1175356
530	493.7764356
531	493.6068924
532	493.2464622
533	492.9428436
534	492.9047786
535	492.8157301
536	492.5545995
537	492.468147
538	492.32316
539	492.0373398
540	491.6680646
541	491.5486464
542	491.4827716
543	491.3053492
544	491.036411
545	490.9655545
546	490.8272365
547	490.5767251
548	490.3713114
549	490.3184544
550	490.1835213
551	490.1624032
552	489.8217827
553	489.721708
554	489.5064213
555	489.3416837
556	489.1460199
557	489.0609964
558	489.0083122
559	488.7309989
560	488.6399031
561	488.5158897
562	488.3405421
563	488.2716061
564	488.097456
565	487.8375453
566	487.8196916
567	487.7231819
568	487.6943403
569	487.6127835
570	487.571725
571	487.3264495
572	487.2920021
573	487.0090028
574	486.6999024
575	486.4678798
576	486.4594397
577	486.3979841
578	486.2856115
579	486.0713969
580	485.8972342
