iter	Passed	Remaining
0	6	6949
1	14	7243
2	21	7059
3	28	7059
4	34	6839
5	39	6609
6	46	6552
7	53	6584
8	60	6648
9	67	6676
10	74	6707
11	80	6659
12	86	6586
13	93	6599
14	100	6607
15	108	6692
16	115	6700
17	122	6686
18	127	6604
19	133	6531
20	140	6541
21	146	6515
22	153	6531
23	160	6517
24	167	6538
25	174	6543
26	181	6535
27	189	6569
28	197	6602
29	204	6617
30	210	6580
31	217	6593
32	225	6604
33	231	6572
34	238	6577
35	246	6603
36	253	6598
37	260	6591
38	267	6597
39	275	6617
40	283	6626
41	290	6635
42	297	6629
43	305	6642
44	315	6689
45	321	6674
46	328	6651
47	337	6687
48	344	6680
49	351	6676
50	358	6662
51	364	6642
52	371	6646
53	379	6640
54	385	6623
55	391	6600
56	398	6585
57	405	6586
58	411	6569
59	418	6560
60	425	6544
61	433	6551
62	440	6549
63	446	6528
64	454	6535
65	461	6525
66	468	6529
67	476	6524
68	482	6511
69	488	6490
70	495	6478
71	502	6474
72	509	6468
73	516	6461
74	523	6452
75	530	6453
76	538	6454
77	546	6455
78	553	6452
79	560	6442
80	565	6420
81	572	6405
82	579	6400
83	586	6393
84	591	6365
85	598	6361
86	605	6354
87	613	6355
88	620	6349
89	627	6348
90	634	6340
91	641	6333
92	649	6330
93	656	6323
94	662	6315
95	670	6317
96	679	6324
97	686	6321
98	693	6313
99	702	6323
100	710	6322
101	717	6316
102	724	6313
103	731	6304
104	739	6300
105	744	6279
106	751	6269
107	758	6260
108	765	6254
109	772	6250
110	779	6243
111	785	6229
112	792	6223
113	800	6218
114	806	6208
115	813	6200
116	821	6201
117	829	6197
118	836	6195
119	844	6193
120	851	6188
121	858	6181
122	866	6175
123	872	6167
124	880	6164
125	887	6157
126	894	6147
127	900	6137
128	908	6132
129	916	6130
130	923	6129
131	931	6124
132	938	6117
133	945	6110
134	953	6106
135	959	6096
136	967	6091
137	974	6086
138	981	6079
139	989	6075
140	996	6071
141	1003	6064
142	1010	6057
143	1018	6051
144	1025	6047
145	1032	6042
146	1040	6037
147	1048	6033
148	1055	6026
149	1062	6021
150	1069	6014
151	1076	6005
152	1083	5996
153	1089	5986
154	1096	5979
155	1103	5972
156	1109	5959
157	1116	5950
158	1125	5950
159	1132	5943
160	1140	5943
161	1147	5938
162	1154	5930
163	1162	5926
164	1171	5930
165	1179	5924
166	1186	5918
167	1192	5908
168	1200	5901
169	1206	5891
170	1213	5884
171	1219	5871
172	1226	5864
173	1234	5858
174	1241	5851
175	1248	5844
176	1255	5839
177	1263	5832
178	1270	5824
179	1277	5819
180	1284	5811
181	1290	5800
182	1297	5793
183	1305	5791
184	1313	5784
185	1321	5783
186	1328	5777
187	1335	5769
188	1343	5766
189	1351	5760
190	1358	5755
191	1365	5747
192	1372	5739
193	1380	5734
194	1388	5730
195	1395	5722
196	1402	5716
197	1409	5710
198	1417	5706
199	1424	5699
200	1432	5694
201	1439	5687
202	1447	5681
203	1454	5673
204	1462	5671
205	1470	5666
206	1477	5659
207	1484	5654
208	1492	5648
209	1499	5641
210	1507	5636
211	1513	5625
212	1520	5619
213	1528	5615
214	1536	5610
215	1543	5604
216	1551	5599
217	1559	5594
218	1566	5587
219	1573	5579
220	1581	5573
221	1588	5566
222	1596	5561
223	1603	5555
224	1610	5548
225	1618	5542
226	1625	5536
227	1632	5527
228	1640	5521
229	1647	5515
230	1654	5508
231	1662	5502
232	1669	5497
233	1676	5488
234	1683	5481
235	1690	5474
236	1698	5467
237	1705	5458
238	1712	5451
239	1721	5450
240	1728	5442
241	1735	5436
242	1743	5431
243	1749	5421
244	1757	5415
245	1764	5408
246	1771	5401
247	1779	5394
248	1786	5388
249	1794	5382
250	1802	5377
251	1808	5369
252	1816	5363
253	1822	5353
254	1830	5348
255	1838	5342
256	1844	5333
257	1851	5324
258	1858	5316
259	1866	5311
260	1873	5304
261	1881	5299
262	1888	5292
263	1896	5286
264	1903	5278
265	1910	5271
266	1918	5266
267	1926	5262
268	1933	5254
269	1941	5249
270	1949	5242
271	1955	5235
272	1963	5229
273	1971	5222
274	1978	5215
275	1986	5210
276	1993	5204
277	2001	5198
278	2008	5191
279	2016	5185
280	2024	5179
281	2031	5172
282	2039	5167
283	2047	5160
284	2054	5154
285	2061	5147
286	2069	5140
287	2076	5132
288	2083	5125
289	2091	5119
290	2098	5113
291	2105	5104
292	2112	5098
293	2119	5090
294	2127	5084
295	2134	5075
296	2141	5068
297	2149	5062
298	2156	5056
299	2164	5050
300	2171	5042
301	2178	5034
302	2184	5024
303	2191	5017
304	2198	5009
305	2204	5000
306	2213	4996
307	2220	4988
308	2227	4981
309	2236	4977
310	2242	4968
311	2248	4959
312	2256	4953
313	2264	4947
314	2271	4940
315	2278	4931
316	2286	4926
317	2293	4918
318	2298	4906
319	2306	4901
320	2312	4892
321	2320	4886
322	2327	4878
323	2335	4871
324	2342	4864
325	2349	4856
326	2355	4848
327	2361	4837
328	2368	4830
329	2375	4823
330	2383	4816
331	2390	4809
332	2398	4803
333	2405	4796
334	2413	4791
335	2421	4785
336	2428	4778
337	2436	4772
338	2443	4764
339	2451	4758
340	2458	4750
341	2465	4744
342	2474	4739
