iter	RMSE
0	205.6149609
1	200.7098296
2	195.8256029
3	191.1830084
4	186.7161505
5	182.5739371
6	178.5882872
7	174.8483953
8	171.3265943
9	167.6790692
10	164.1335859
11	160.8861792
12	157.863368
13	154.7717147
14	151.8807192
15	149.4599515
16	146.8376248
17	144.3324521
18	142.1883936
19	139.8557175
20	137.6489216
21	135.5125594
22	133.6964781
23	131.813166
24	129.9290661
25	128.2230863
26	126.6564206
27	125.1563563
28	123.8095657
29	122.3350529
30	120.8112919
31	119.3815684
32	118.2273173
33	117.0671536
34	115.7673216
35	114.9086196
36	114.0033131
37	113.0037918
38	111.8478265
39	111.001576
40	110.1215492
41	109.2712195
42	108.3986254
43	107.4938248
44	106.7894417
45	105.8850429
46	105.259927
47	104.6348106
48	103.9805489
49	103.313001
50	102.6684925
51	102.097853
52	101.6499437
53	101.1409002
54	100.6255998
55	100.1684076
56	99.68722729
57	99.08158834
58	98.62869051
59	98.07337306
60	97.69830607
61	97.26063789
62	96.89145342
63	96.54348913
64	96.21582108
65	95.91234856
66	95.67487626
67	95.29617912
68	94.99129022
69	94.70726934
70	94.37921688
71	94.05815789
72	93.70816741
73	93.42936241
74	93.20912296
75	92.99787347
76	92.76553587
77	92.54630199
78	92.38230243
79	92.12546371
80	91.9495827
81	91.7518712
82	91.56033818
83	91.33218092
84	91.17476468
85	90.99115131
86	90.77922191
87	90.59633798
88	90.44351925
89	90.20535984
90	90.04171826
91	89.89886637
92	89.68196015
93	89.49154865
94	89.35352026
95	89.15974383
96	88.92516235
97	88.74166874
98	88.54242905
99	88.38426088
100	88.23802878
101	88.08100635
102	87.98977364
103	87.83370158
104	87.74340051
105	87.55733547
106	87.45173111
107	87.31289574
108	87.2173217
109	87.04292337
110	86.95286021
111	86.8847239
112	86.75360822
113	86.63617276
114	86.54376145
115	86.37486103
116	86.25041387
117	86.10817321
118	85.97971128
119	85.8753294
120	85.74790004
121	85.62286637
122	85.50911544
123	85.43790423
124	85.33630491
125	85.17516897
126	85.06999091
127	84.98003445
128	84.89454971
129	84.78792074
130	84.66058194
131	84.56093558
132	84.49584923
133	84.40126953
134	84.31539622
135	84.24555145
136	84.11600501
137	84.04567792
138	83.94573319
139	83.80092583
140	83.66827467
141	83.56033058
142	83.45542296
143	83.41743416
144	83.1900964
145	83.09058084
146	82.92661665
147	82.86180765
148	82.80268626
149	82.65912646
150	82.59434479
151	82.53211039
152	82.41536356
153	82.32894022
154	82.22224492
155	82.16427731
156	82.08664064
157	81.95836014
158	81.86448547
159	81.75392407
160	81.69285758
161	81.65122024
162	81.55006312
163	81.47873176
164	81.42707825
165	81.37592123
166	81.191917
167	81.11512646
168	81.06777621
169	80.95142152
170	80.89664925
171	80.75407391
172	80.69247288
173	80.57425856
174	80.40038085
175	80.32384694
176	80.23010144
177	80.16259942
178	80.1254134
179	80.04086249
180	79.99305767
181	79.85387466
182	79.80925364
183	79.69347528
184	79.64559944
185	79.57886437
186	79.54056286
187	79.49110662
188	79.46649092
189	79.34194209
190	79.29545448
191	79.23767886
192	79.14843613
193	79.05337088
194	78.96181554
195	78.92606416
196	78.87311578
197	78.79838464
198	78.76988953
199	78.74269935
200	78.62056454
201	78.55891415
202	78.51170848
203	78.39745606
204	78.37597848
205	78.35237343
206	78.31418177
207	78.27237035
208	78.24756867
209	78.2200147
210	78.12215691
211	78.09015757
212	78.06454554
213	77.96454751
214	77.94691896
215	77.90872863
216	77.81181141
217	77.72750339
218	77.69730368
219	77.67779011
220	77.504977
221	77.49074094
222	77.30629493
223	77.27440047
224	77.12703493
225	77.04040858
226	76.83750324
227	76.81026432
228	76.77988845
229	76.75721414
230	76.64746592
231	76.62490305
232	76.54312184
233	76.51469094
234	76.49586082
235	76.44370533
236	76.3575577
237	76.3343796
238	76.17450517
239	76.05362229
240	75.98643054
241	75.96638651
242	75.8858783
243	75.85591452
244	75.82942788
245	75.67184667
246	75.65677032
247	75.62713754
248	75.60804256
249	75.55840119
250	75.53634562
251	75.46415222
252	75.36766962
253	75.34327259
254	75.31759433
255	75.16680728
256	74.99254908
257	74.94939164
258	74.9314331
259	74.82642606
260	74.69317996
261	74.58679497
262	74.56657987
263	74.46558215
264	74.37783993
265	74.36260717
266	74.33515084
267	74.24135824
268	74.08850947
269	74.07606037
270	73.95762935
271	73.77087751
272	73.75050172
273	73.61794324
274	73.47123365
275	73.35123737
276	73.27462787
277	73.09706262
278	72.93362445
279	72.84836741
280	72.73937738
281	72.72812067
282	72.71196434
283	72.69998037
284	72.56588955
285	72.42268443
286	72.35135514
287	72.23771127
288	72.22243911
289	72.16481475
290	72.08745231
291	71.96531491
292	71.80743651
293	71.63341724
294	71.61664604
295	71.5967012
296	71.48466108
297	71.37489117
298	71.36051244
299	71.27025727
300	71.24877567
301	71.21084995
302	71.12739302
303	71.03635217
304	70.96964821
305	70.82235657
306	70.80776997
307	70.69279749
308	70.67594943
309	70.66114793
310	70.50361057
311	70.49355009
312	70.37092426
313	70.21175714
314	70.12652096
315	70.04165158
316	69.93059853
317	69.80970609
318	69.74678417
319	69.68143172
320	69.6047095
321	69.47893585
322	69.46861967
323	69.4037153
324	69.34396387
325	69.27511791
326	69.11752128
327	69.10338655
328	69.03241704
329	68.92552214
330	68.77959315
331	68.70063634
332	68.56128225
333	68.4142635
334	68.32800597
335	68.31571453
336	68.18793346
337	68.17611611
338	68.08447988
339	68.00758003
340	67.9213647
341	67.85304297
342	67.74515338
343	67.73188235
344	67.71706755
345	67.70946836
346	67.61982296
347	67.52057679
348	67.39082307
349	67.30357651
350	67.28776333
351	67.17034366
352	67.09517519
353	67.01472744
354	66.87018637
355	66.82135649
356	66.73693304
357	66.72407206
358	66.71082403
359	66.60771581
360	66.52314146
361	66.50648696
362	66.35271082
363	66.21472315
364	66.06857484
365	65.9918797
366	65.98165528
367	65.95662783
368	65.87106378
369	65.73046918
370	65.65830868
371	65.55271972
372	65.47817922
373	65.38169552
374	65.21651771
375	65.0639684
376	64.95981985
377	64.89380511
378	64.83929356
379	64.82150369
380	64.71596607
381	64.70691998
382	64.63448146
383	64.56113402
384	64.50218139
385	64.39246339
386	64.33060697
387	64.23587705
388	64.18380221
389	64.15697833
390	64.08018594
391	63.95311551
392	63.83991167
393	63.75322057
394	63.68195574
395	63.67478186
396	63.5924497
397	63.51338721
398	63.46740766
399	63.46036404
400	63.42163653
401	63.35161165
402	63.24237129
403	63.23416863
404	63.13157902
405	63.02416844
406	62.9474453
407	62.87499593
408	62.86729451
409	62.77665097
410	62.76368507
411	62.67642389
412	62.60520891
413	62.50577208
414	62.40864192
415	62.30955921
416	62.21599585
417	62.17532036
418	62.09479022
419	62.02624367
420	62.02208905
421	61.92130478
422	61.82999112
423	61.74161055
424	61.69018425
425	61.62293299
426	61.54435044
427	61.49418845
428	61.38827301
429	61.32114437
430	61.21021685
431	61.2040951
432	61.12331381
433	61.02169234
434	60.95840875
435	60.86481389
436	60.76616321
437	60.67444635
438	60.59500558
439	60.49781148
440	60.42569667
441	60.33291759
442	60.24966102
443	60.1561655
444	60.09609439
445	59.98847893
446	59.92633832
447	59.91962502
448	59.8113751
449	59.80548524
450	59.74730735
451	59.69698606
452	59.65255552
453	59.59512687
454	59.51943485
455	59.5139012
456	59.38154479
457	59.29962181
458	59.29085855
459	59.25084796
460	59.19141944
461	59.13299494
462	59.00574308
463	58.94676623
464	58.85002652
465	58.73436462
466	58.64301698
467	58.58116672
468	58.50688767
469	58.46814385
470	58.36570337
471	58.30396553
472	58.2351004
473	58.22953808
474	58.22439611
475	58.1454578
476	58.13928945
477	58.05701573
478	58.00330923
479	57.99777533
480	57.98511828
481	57.89453188
482	57.81738257
483	57.77081683
484	57.76534781
485	57.71787275
486	57.6556402
487	57.61395536
488	57.54110245
489	57.5260297
490	57.42899402
491	57.37191804
492	57.36739938
493	57.36300076
494	57.29543577
495	57.29114161
496	57.21185101
497	57.17831098
498	57.10425963
499	57.09724757
500	57.00109692
501	56.9419257
502	56.87630217
503	56.82534474
504	56.75902118
505	56.70512121
506	56.61344124
507	56.53408585
508	56.52820077
509	56.47568433
510	56.36743505
511	56.36178481
512	56.29005187
513	56.18810205
514	56.12654936
515	56.04972432
516	56.0458952
517	56.03638822
518	56.00867359
519	55.9702667
520	55.89904782
521	55.83863459
522	55.79364926
523	55.69007145
524	55.64109401
525	55.59437679
526	55.54017575
527	55.45242752
528	55.36489393
529	55.30515828
530	55.30082878
531	55.29523193
532	55.21014047
533	55.10330811
534	55.04411298
535	55.04109986
536	54.9928484
537	54.91496557
538	54.91040313
539	54.86104775
540	54.77089492
541	54.71181467
542	54.65789837
543	54.52511809
544	54.47586562
545	54.41529035
546	54.3148243
547	54.31164557
548	54.26303514
549	54.24244597
550	54.1925584
551	54.17252368
552	54.16975365
553	54.16680434
554	54.13108094
555	54.06102498
556	53.98303334
557	53.98027254
558	53.90362389
559	53.90121315
560	53.84966356
561	53.78241241
562	53.67412236
563	53.59863298
564	53.50784925
565	53.43002199
566	53.37022951
567	53.36131952
568	53.30238833
569	53.2275835
570	53.16565928
571	53.07617767
572	53.01133951
573	52.94789889
574	52.89911364
575	52.84140972
576	52.82305181
577	52.81652541
578	52.7621413
579	52.71308118
580	52.61744769
581	52.61510208
582	52.61203125
583	52.60829755
584	52.53494676
585	52.53262565
586	52.53010792
587	52.52606183
588	52.47302381
589	52.42684018
590	52.33856521
591	52.27445445
592	52.27073765
593	52.20371488
594	52.1341986
595	52.05812846
596	52.05575044
597	51.97376885
598	51.88040189
599	51.84333853
600	51.78864645
601	51.78647864
602	51.76368392
603	51.72785377
604	51.66329994
605	51.63556442
606	51.57440342
607	51.48353396
608	51.3970009
609	51.35181343
610	51.29633462
611	51.29463294
612	51.28042344
613	51.21303301
614	51.16241542
615	51.11952271
616	51.05593054
617	51.002655
618	50.91349679
619	50.88899371
620	50.88506084
621	50.8830186
622	50.79866156
623	50.7163832
624	50.7145552
625	50.71279418
626	50.6638263
627	50.56230163
628	50.49441652
629	50.43798354
630	50.38541914
631	50.3112967
632	50.24842816
633	50.22058801
634	50.15683944
635	50.11692036
636	50.04705045
637	49.9998801
638	49.94235452
639	49.9000611
640	49.8196555
641	49.75631981
642	49.70445479
643	49.70266936
644	49.64424573
645	49.57359763
646	49.5282278
647	49.46962627
648	49.39175441
649	49.3252581
650	49.23423131
651	49.18083301
652	49.13193233
653	49.08996606
654	49.02546505
655	48.99227345
656	48.90618938
657	48.89362406
658	48.84825248
659	48.78998992
660	48.7838007
661	48.76044141
662	48.69169521
663	48.64333726
664	48.59892287
665	48.55965641
666	48.47056717
667	48.424234
668	48.36656347
669	48.36479943
670	48.32126486
671	48.26789713
672	48.22832875
673	48.17262961
674	48.1288939
675	48.07550845
676	48.05150958
677	48.00564172
678	48.00395317
679	48.00261197
680	47.9293005
681	47.85749808
682	47.80918076
683	47.7540249
684	47.67208192
685	47.59221371
686	47.51693393
687	47.46939887
688	47.39501961
689	47.36765745
690	47.36192967
691	47.27921682
692	47.22380351
693	47.13090175
694	47.05778805
695	47.02217546
696	46.99117661
697	46.94757326
698	46.88664641
699	46.85707866
700	46.8054654
701	46.77108019
702	46.71523257
703	46.6880848
704	46.6684053
705	46.55897873
706	46.48534436
707	46.43966621
708	46.43479976
709	46.3922131
710	46.35163231
711	46.30542362
712	46.30012676
713	46.24374594
714	46.17695676
715	46.09894939
716	46.08595981
717	46.02472684
718	45.93898759
719	45.87376156
720	45.82730482
721	45.78590302
722	45.7845169
723	45.7298955
724	45.64771652
725	45.59569226
726	45.53642657
727	45.53475189
728	45.5111924
729	45.50853763
730	45.46118102
731	45.39048634
732	45.34731087
733	45.2953792
734	45.24523532
735	45.19963409
736	45.15060768
737	45.09327252
738	45.09066124
739	45.02690368
740	44.95804549
741	44.92044226
742	44.9028793
743	44.85853101
744	44.80967973
745	44.7442296
746	44.70583336
747	44.67258826
748	44.65210212
749	44.59436463
750	44.56913161
751	44.51511043
752	44.46256488
753	44.4461886
754	44.414451
755	44.3790073
756	44.34973611
757	44.34677701
758	44.29237674
759	44.27406475
760	44.23374778
761	44.19606949
762	44.16073343
763	44.137843
764	44.08141085
765	44.02547858
766	44.00443702
767	43.97917937
768	43.94401376
769	43.92108822
770	43.8956352
771	43.84502244
772	43.79260439
773	43.74404704
774	43.71448733
775	43.66957142
776	43.61881831
777	43.59238914
778	43.56308832
779	43.529744
780	43.47549056
781	43.42847167
782	43.40535014
783	43.37824627
784	43.31697479
785	43.26373412
786	43.24744732
787	43.19381897
788	43.17247822
789	43.14607497
790	43.10371842
791	43.08207471
792	43.0578689
793	43.0320409
794	42.99247656
795	42.94247845
796	42.92250513
797	42.92071
798	42.91811552
799	42.87290006
800	42.85762855
801	42.79076793
802	42.76445393
803	42.73310071
804	42.67441548
805	42.63966262
806	42.63852256
807	42.61582071
808	42.57361084
809	42.49529253
810	42.45060825
811	42.40295338
812	42.40114702
813	42.38349293
814	42.34305927
815	42.30168063
816	42.27525454
817	42.21232409
818	42.18624807
819	42.11039194
820	42.07669409
821	42.02266858
822	42.00807965
823	41.96669985
824	41.93419592
825	41.87282414
826	41.85295636
827	41.80831854
828	41.7732238
829	41.77089943
830	41.77009624
831	41.70270174
832	41.70158255
833	41.675248
834	41.6504695
835	41.62266737
836	41.57679906
837	41.50525397
838	41.50336077
839	41.48101642
840	41.43448469
841	41.41009304
842	41.38893783
843	41.32351548
844	41.29222526
845	41.25441796
846	41.2119241
847	41.183463
848	41.12589828
849	41.07817388
850	41.04666263
851	40.99429805
852	40.92933576
853	40.90899419
854	40.88305767
855	40.85621137
856	40.82051374
857	40.79769523
858	40.74687198
859	40.71325484
860	40.68860742
861	40.6429284
862	40.59972751
863	40.55111925
864	40.5279411
865	40.48829194
866	40.47877124
867	40.47288844
868	40.45460806
869	40.39695408
870	40.36229183
871	40.32364766
872	40.28308536
873	40.2247346
874	40.20707177
875	40.18143201
876	40.14627863
877	40.14431278
878	40.09510537
879	40.06060472
880	40.0025524
881	39.96792741
882	39.91081731
883	39.85798087
884	39.80770479
885	39.7626305
886	39.73329393
887	39.69022574
888	39.66633607
889	39.58904302
890	39.55505353
891	39.49614747
892	39.43620731
893	39.38224165
894	39.36398129
895	39.31777155
896	39.30149284
897	39.27639965
898	39.24634283
899	39.18634538
900	39.16652594
901	39.11182564
902	39.06514263
903	39.01614629
904	38.98308515
905	38.95524037
906	38.95416465
907	38.92825944
908	38.87871202
909	38.83986072
910	38.80668121
911	38.79121469
912	38.77719225
913	38.7660458
914	38.74926242
915	38.725215
916	38.65822571
917	38.60943828
918	38.59243394
919	38.56463774
920	38.56289153
921	38.51034425
922	38.47575224
923	38.44892826
924	38.42439247
925	38.39124691
926	38.35714375
927	38.30985842
928	38.28614969
929	38.28316537
930	38.22315724
931	38.19684472
932	38.15563392
933	38.09480265
934	38.0516692
935	37.99870277
936	37.95996682
937	37.92914928
938	37.8939018
939	37.87170365
940	37.82174738
941	37.78206048
942	37.73049971
943	37.71294622
944	37.66282685
945	37.63528341
946	37.61035104
947	37.55688149
948	37.5291339
949	37.50507346
950	37.44978096
951	37.40873831
952	37.37611783
953	37.34056611
954	37.31448171
955	37.28480127
956	37.22109857
957	37.17707625
958	37.17529421
959	37.15457545
960	37.13306688
961	37.07740979
962	37.07534471
963	37.04224301
964	36.99534336
965	36.95631182
966	36.93403928
967	36.91207634
968	36.8559142
969	36.82323767
970	36.77965387
971	36.76762771
972	36.75999215
973	36.74129516
974	36.71680479
975	36.69040128
976	36.67319247
977	36.63901799
978	36.59933095
979	36.56379292
980	36.53994664
981	36.49613551
982	36.48629878
983	36.46004888
984	36.42070841
985	36.39950796
986	36.3836878
987	36.38195421
988	36.37790913
989	36.352108
990	36.31300199
991	36.28425419
992	36.24142353
993	36.2214121
994	36.16069036
995	36.12535719
996	36.10183703
997	36.07914079
998	36.04079294
999	36.03976918
