ID,착과량(int)
TEST_0000,159.0
TEST_0001,658.0
TEST_0002,23.0
TEST_0003,384.0
TEST_0004,658.0
TEST_0005,318.0
TEST_0006,540.0
TEST_0007,210.0
TEST_0008,694.0
TEST_0009,210.0
TEST_0010,271.0
TEST_0011,744.0
TEST_0012,691.0
TEST_0013,752.0
TEST_0014,48.0
TEST_0015,206.0
TEST_0016,375.0
TEST_0017,135.0
TEST_0018,9.0
TEST_0019,308.0
TEST_0020,88.0
TEST_0021,724.0
TEST_0022,768.0
TEST_0023,520.0
TEST_0024,178.0
TEST_0025,216.0
TEST_0026,360.0
TEST_0027,600.0
TEST_0028,616.0
TEST_0029,546.0
TEST_0030,162.0
TEST_0031,507.0
TEST_0032,723.0
TEST_0033,352.0
TEST_0034,583.0
TEST_0035,782.0
TEST_0036,734.0
TEST_0037,292.0
TEST_0038,172.0
TEST_0039,461.0
TEST_0040,442.0
TEST_0041,389.0
TEST_0042,114.0
TEST_0043,100.0
TEST_0044,495.0
TEST_0045,259.0
TEST_0046,602.0
TEST_0047,695.0
TEST_0048,241.0
TEST_0049,271.0
TEST_0050,259.0
TEST_0051,681.0
TEST_0052,212.0
TEST_0053,185.0
TEST_0054,655.0
TEST_0055,195.0
TEST_0056,667.0
TEST_0057,522.0
TEST_0058,362.0
TEST_0059,531.0
TEST_0060,264.0
TEST_0061,31.0
TEST_0062,283.0
TEST_0063,656.0
TEST_0064,230.0
TEST_0065,357.0
TEST_0066,631.0
TEST_0067,450.0
TEST_0068,186.0
TEST_0069,664.0
TEST_0070,733.0
TEST_0071,347.0
TEST_0072,697.0
TEST_0073,222.0
TEST_0074,174.0
TEST_0075,155.0
TEST_0076,494.0
TEST_0077,679.0
TEST_0078,771.0
TEST_0079,778.0
TEST_0080,696.0
TEST_0081,65.0
TEST_0082,47.0
TEST_0083,739.0
TEST_0084,435.0
TEST_0085,753.0
TEST_0086,252.0
TEST_0087,2.0
TEST_0088,142.0
TEST_0089,14.0
TEST_0090,206.0
TEST_0091,264.0
TEST_0092,324.0
TEST_0093,526.0
TEST_0094,775.0
TEST_0095,519.0
TEST_0096,273.0
TEST_0097,187.0
TEST_0098,196.0
TEST_0099,378.0
TEST_0100,522.0
TEST_0101,502.0
TEST_0102,241.0
TEST_0103,315.0
TEST_0104,187.0
TEST_0105,785.0
TEST_0106,281.0
TEST_0107,306.0
TEST_0108,576.0
TEST_0109,48.0
TEST_0110,649.0
TEST_0111,336.0
TEST_0112,407.0
TEST_0113,450.0
TEST_0114,542.0
TEST_0115,7.0
TEST_0116,545.0
TEST_0117,597.0
TEST_0118,590.0
TEST_0119,326.0
TEST_0120,174.0
TEST_0121,604.0
TEST_0122,367.0
TEST_0123,307.0
TEST_0124,409.0
TEST_0125,674.0
TEST_0126,199.0
TEST_0127,456.0
TEST_0128,726.0
TEST_0129,394.0
TEST_0130,162.0
TEST_0131,88.0
TEST_0132,357.0
TEST_0133,723.0
TEST_0134,7.0
TEST_0135,327.0
TEST_0136,504.0
TEST_0137,49.0
TEST_0138,163.0
TEST_0139,154.0
TEST_0140,739.0
TEST_0141,649.0
TEST_0142,1.0
TEST_0143,695.0
TEST_0144,178.0
TEST_0145,675.0
TEST_0146,188.0
TEST_0147,151.0
TEST_0148,209.0
TEST_0149,36.0
TEST_0150,292.0
TEST_0151,666.0
TEST_0152,660.0
TEST_0153,589.0
TEST_0154,308.0
TEST_0155,377.0
TEST_0156,231.0
TEST_0157,589.0
TEST_0158,287.0
TEST_0159,27.0
TEST_0160,492.0
TEST_0161,729.0
TEST_0162,26.0
TEST_0163,306.0
TEST_0164,602.0
TEST_0165,126.0
