ID,착과량(int)
TEST_0000,171.9769197298187
TEST_0001,535.7981559095987
TEST_0002,180.10789191021988
TEST_0003,277.81291098984406
TEST_0004,536.003847693037
TEST_0005,218.13237245472936
TEST_0006,529.934604603456
TEST_0007,154.7740629839394
TEST_0008,535.8138460162643
TEST_0009,209.45287945643616
TEST_0010,550.8680630430162
TEST_0011,565.3219312875807
TEST_0012,544.609605767836
TEST_0013,563.5106876463248
TEST_0014,135.2322381986408
TEST_0015,323.4551141932433
TEST_0016,564.0291609391869
TEST_0017,259.98191385486786
TEST_0018,210.93655178242437
TEST_0019,508.5617327635272
TEST_0020,122.02079499519265
TEST_0021,552.5086478679182
TEST_0022,554.2878163834044
TEST_0023,498.6768818944177
TEST_0024,274.2941582532964
TEST_0025,542.0743593681184
TEST_0026,473.9916103654052
TEST_0027,531.9838687266594
TEST_0028,553.4684567848503
TEST_0029,562.4560543147235
TEST_0030,109.48874878893878
TEST_0031,557.1366899187709
TEST_0032,539.1749206547352
TEST_0033,485.9642720940137
TEST_0034,500.22924578297614
TEST_0035,489.9081569191579
TEST_0036,534.5181859311901
TEST_0037,525.6638440146144
TEST_0038,157.77660664544098
TEST_0039,522.7009554792478
TEST_0040,506.275695008097
TEST_0041,315.37745189423555
TEST_0042,531.5228388099208
TEST_0043,162.53230768001578
TEST_0044,520.9170721832008
TEST_0045,309.66759867661494
TEST_0046,487.1340902496243
TEST_0047,595.5150470377462
TEST_0048,273.7492668792935
TEST_0049,489.90144023378883
TEST_0050,300.4750720425453
TEST_0051,567.8564515798768
TEST_0052,506.49882123981837
TEST_0053,160.9331934893994
TEST_0054,505.61623495552914
TEST_0055,188.70999854040613
TEST_0056,529.014111031285
TEST_0057,561.4042363828738
TEST_0058,492.2311088696412
TEST_0059,555.6955300334523
TEST_0060,284.4845833504494
TEST_0061,209.63498271076705
TEST_0062,497.894291033318
TEST_0063,560.878058579548
TEST_0064,243.11540484127084
TEST_0065,190.5550403129921
TEST_0066,526.922378676767
TEST_0067,530.7744138606248
TEST_0068,114.47060848106013
TEST_0069,533.4289004837024
TEST_0070,495.2749600941113
TEST_0071,517.5377349181847
TEST_0072,536.6677186320616
TEST_0073,264.85478713701707
TEST_0074,232.44001284683912
TEST_0075,203.2701237569528
TEST_0076,263.8921706936781
TEST_0077,522.8798479107273
TEST_0078,582.9945488907997
TEST_0079,587.2316261085791
TEST_0080,568.8964987844921
TEST_0081,97.59133113129285
TEST_0082,227.04668248648545
TEST_0083,541.4086434269484
TEST_0084,517.0023504238807
TEST_0085,581.9860701193695
TEST_0086,271.06268622772603
TEST_0087,139.88765000808178
TEST_0088,178.3113056848676
TEST_0089,164.7078409037996
TEST_0090,262.177650188066
TEST_0091,512.8702186895443
TEST_0092,528.0613432856184
TEST_0093,523.750214450997
TEST_0094,535.6199573480377
TEST_0095,550.112734279644
TEST_0096,259.40372386161414
TEST_0097,219.5414975077418
TEST_0098,227.3655911117839
TEST_0099,576.0284167510415
TEST_0100,553.5171518887224
TEST_0101,543.7742304812327
TEST_0102,274.2704724871229
TEST_0103,535.4298483256925
TEST_0104,180.73787293873093
TEST_0105,566.7728181577323
TEST_0106,267.6658939140671
TEST_0107,230.04554769238462
TEST_0108,534.4729225337992
TEST_0109,173.88620846767114
TEST_0110,533.0295085779688
TEST_0111,233.25227569802325
TEST_0112,535.6524335319098
TEST_0113,217.67416207453365
TEST_0114,566.9074476014749
TEST_0115,185.50752183126923
TEST_0116,525.1678188071677
TEST_0117,566.5950593709738
TEST_0118,522.2142262819676
TEST_0119,515.9274264423103
TEST_0120,226.9964146797244
TEST_0121,481.51485703290376
TEST_0122,323.8467048054655
TEST_0123,518.5245021484742
TEST_0124,533.3222241855914
TEST_0125,531.3661168896434
TEST_0126,193.80626641229918
TEST_0127,519.7821894151975
TEST_0128,571.46674552895
TEST_0129,548.6395982395326
TEST_0130,195.77074643995542
TEST_0131,186.8282964015495
TEST_0132,552.7086927945979
TEST_0133,553.7536633368705
TEST_0134,104.60825995638565
TEST_0135,218.71248715226858
TEST_0136,491.8358879902939
TEST_0137,221.187411974038
TEST_0138,215.4147321773788
TEST_0139,263.49740863940417
TEST_0140,543.123775263531
TEST_0141,551.5468823549849
TEST_0142,146.0946417417745
TEST_0143,559.4085315054147
TEST_0144,276.507321903206
TEST_0145,584.7029539491377
TEST_0146,207.25945700466988
TEST_0147,226.79710260409047
TEST_0148,162.4624157689512
TEST_0149,174.46675996113825
TEST_0150,515.4782213842606
TEST_0151,560.1613762528411
TEST_0152,582.0932629576183
TEST_0153,221.5122286774849
TEST_0154,502.30739997348695
TEST_0155,528.6114499572365
TEST_0156,262.6942353883623
TEST_0157,210.01201326488817
TEST_0158,172.47645116713997
TEST_0159,173.7155032411411
TEST_0160,537.6833214160903
TEST_0161,566.7636633623544
TEST_0162,93.73650118371556
TEST_0163,215.7837241921304
TEST_0164,589.0251391816901
TEST_0165,473.3979758509992
TEST_0166,524.6846714205839
TEST_0167,534.8874723710447
TEST_0168,520.5153286184681
TEST_0169,555.3294987486511
TEST_0170,541.4212508278428
TEST_0171,521.029446557375
TEST_0172,517.2562993647117
TEST_0173,270.8929393152527
TEST_0174,235.0993245393562
TEST_0175,243.8156969701943
TEST_0176,536.2552800334104
TEST_0177,537.3165953902694
TEST_0178,319.8118338304411
TEST_0179,507.0692264181501
TEST_0180,527.3908299565978
TEST_0181,553.431101323842
TEST_0182,536.209171112223
TEST_0183,242.16801645444676
TEST_0184,559.8188863571568
TEST_0185,559.3312000404555
TEST_0186,147.27434652161128
TEST_0187,529.3345138771143
TEST_0188,513.7399585864166
TEST_0189,179.30047403028908
TEST_0190,540.1338837653467
TEST_0191,301.09230280372424
TEST_0192,131.92543921387932
TEST_0193,510.6458949790254
TEST_0194,549.2224134883264
TEST_0195,559.1169699998867
TEST_0196,561.1745977014946
TEST_0197,178.2214412628918
TEST_0198,208.76182004978838
TEST_0199,150.24976585654807
TEST_0200,218.66919069281448
TEST_0201,495.10921854079567
TEST_0202,143.8777703296049
TEST_0203,161.42928277332396
TEST_0204,506.0481420108694
TEST_0205,528.3376555042124
TEST_0206,261.3994265125065
TEST_0207,201.44809312787135
TEST_0208,529.3624325638193
TEST_0209,555.7420741589868
TEST_0210,548.0514880942732
TEST_0211,542.5548509453769
TEST_0212,86.99025156886891
TEST_0213,482.79848824852183
TEST_0214,319.5321966015041
TEST_0215,174.6782910842619
TEST_0216,553.5658249178057
TEST_0217,170.88802950266
TEST_0218,546.3916783927596
TEST_0219,272.6929918911969
TEST_0220,331.45676469306306
TEST_0221,282.5700323796496
TEST_0222,548.8291912929577
TEST_0223,479.2061055581557
TEST_0224,549.8405513187809
TEST_0225,524.5169502177454
TEST_0226,549.3609744281716
TEST_0227,563.752611298433
TEST_0228,477.9899185342188
TEST_0229,490.94390790986483
TEST_0230,265.3853635931716
TEST_0231,585.2463636527013
TEST_0232,184.26639738028675
TEST_0233,212.17349437490964
TEST_0234,522.8755460352792
TEST_0235,576.902695597806
TEST_0236,501.5871798769876
TEST_0237,559.3087320013951
TEST_0238,139.42795217317234
TEST_0239,555.1404550759655
TEST_0240,544.6888075093336
TEST_0241,549.8262955850499
TEST_0242,292.4190288824653
TEST_0243,146.56259140991767
TEST_0244,482.0461919667482
TEST_0245,533.682972123787
TEST_0246,554.955948717073
TEST_0247,304.201037765143
TEST_0248,554.3988527181745
TEST_0249,523.8312169555546
TEST_0250,190.36527669956808
TEST_0251,213.77932560828603
TEST_0252,548.8785944763983
TEST_0253,250.04627236313792
TEST_0254,172.234819503583
TEST_0255,208.0773358142695
TEST_0256,292.8405190465705
TEST_0257,488.08553383708306
TEST_0258,558.900279524493
TEST_0259,233.17294667766313
TEST_0260,528.5402603716894
TEST_0261,148.48391362497932
TEST_0262,280.5577057406142
TEST_0263,529.3725975335592
TEST_0264,145.39574347700056
TEST_0265,510.6371018624632
TEST_0266,257.78208753152865
TEST_0267,518.7420871539528
TEST_0268,532.968537082126
TEST_0269,493.12749525049304
TEST_0270,269.6200453897807
TEST_0271,490.79430657100255
TEST_0272,534.2559283862608
TEST_0273,526.1823961171024
TEST_0274,266.59087945412944
TEST_0275,177.67359892258926
TEST_0276,530.8006956899529
TEST_0277,254.90836659018993
TEST_0278,180.14030083151013
TEST_0279,143.2098952157372
TEST_0280,528.2597465773423
TEST_0281,548.8564084341085
TEST_0282,158.85180544451302
TEST_0283,112.19050612249306
TEST_0284,565.3853314176384
TEST_0285,497.0247851753977
TEST_0286,178.22741681652474
TEST_0287,496.36556325406735
TEST_0288,550.8165244103433
TEST_0289,183.29099555692076
TEST_0290,484.7473136890431
TEST_0291,188.40837201373333
TEST_0292,510.06047275534496
TEST_0293,568.1877271091297
TEST_0294,178.8516747425447
TEST_0295,495.82823648633604
TEST_0296,554.3990944794027
TEST_0297,521.068630133673
TEST_0298,219.23149411384532
TEST_0299,307.9724492479813
TEST_0300,152.40858960787568
TEST_0301,265.5606413709493
TEST_0302,280.2913149322529
TEST_0303,538.7659406331924
TEST_0304,565.5488027345682
TEST_0305,510.5625729268984
TEST_0306,286.1229055651106
TEST_0307,502.0437725120405
TEST_0308,519.1762093775471
TEST_0309,579.602865091637
TEST_0310,215.31853846165222
TEST_0311,525.239561470969
TEST_0312,571.8461558304567
TEST_0313,483.5352268573328
TEST_0314,487.86613649374414
TEST_0315,150.06331674465952
TEST_0316,132.27292120435703
TEST_0317,185.04921396424774
TEST_0318,473.83784206279745
TEST_0319,520.3173687918696
TEST_0320,278.5443370870578
TEST_0321,559.4426899102024
TEST_0322,541.2818859995409
TEST_0323,524.6116337083565
TEST_0324,569.7568192675146
TEST_0325,523.4406913727657
TEST_0326,191.65938815717905
TEST_0327,544.5006332286961
TEST_0328,510.0271174830814
TEST_0329,527.7795179248544
TEST_0330,544.47331617828
TEST_0331,264.1566976279059
TEST_0332,205.56939197821535
TEST_0333,257.40600877317905
TEST_0334,258.33082766604053
TEST_0335,281.7486061320708
TEST_0336,154.99289405706034
TEST_0337,510.9548992638029
TEST_0338,543.102039016734
TEST_0339,118.7755665291592
TEST_0340,533.2135925099926
TEST_0341,125.92368253836932
TEST_0342,218.1376132302144
TEST_0343,317.17287215276747
TEST_0344,561.8433892420957
TEST_0345,274.8488891648906
TEST_0346,178.61071300155248
TEST_0347,174.57059402622633
TEST_0348,248.77608517554643
TEST_0349,535.4725567281687
TEST_0350,562.897967396734
TEST_0351,554.9164684655493
TEST_0352,515.0314153077909
TEST_0353,570.4550623347374
TEST_0354,153.9732246097379
TEST_0355,522.2737964004339
TEST_0356,178.61623923164308
TEST_0357,548.8363994355749
TEST_0358,144.69761618942374
TEST_0359,565.493923720972
TEST_0360,169.9648335109743
TEST_0361,290.58416797629127
TEST_0362,558.2849811832067
TEST_0363,293.53852629519764
TEST_0364,253.54684403764276
TEST_0365,525.3435354164399
TEST_0366,206.64606381277952
TEST_0367,552.2521248339914
TEST_0368,163.02351321755876
TEST_0369,178.19541950592742
TEST_0370,334.4683571553886
TEST_0371,248.0739259150533
TEST_0372,218.2173565496034
TEST_0373,555.7463516149326
TEST_0374,151.17938731618398
TEST_0375,573.321489222057
TEST_0376,210.9599028728459
TEST_0377,130.25415797215902
TEST_0378,269.67619941754066
TEST_0379,532.6984374754453
TEST_0380,565.1042570628206
TEST_0381,560.7091846190847
TEST_0382,429.5533902842194
TEST_0383,521.1109502786967
