ID,착과량(int)
TEST_0000,173.63567296913158
TEST_0001,544.3875127508427
TEST_0002,180.23104797763412
TEST_0003,281.8411516003931
TEST_0004,537.4485195150386
TEST_0005,220.85576024727249
TEST_0006,515.5014142263026
TEST_0007,159.82141528271268
TEST_0008,533.0650435185337
TEST_0009,220.69733128866542
TEST_0010,551.7333314899656
TEST_0011,572.6497626709889
TEST_0012,549.3285185412321
TEST_0013,595.8601866968727
TEST_0014,141.52888414613454
TEST_0015,300.8118585888276
TEST_0016,557.8916030032917
TEST_0017,261.86469619301624
TEST_0018,221.47439470479588
TEST_0019,470.9679940741826
TEST_0020,127.72717244512754
TEST_0021,564.0949258076572
TEST_0022,537.6566883767033
TEST_0023,479.49600765099876
TEST_0024,263.54738428160834
TEST_0025,544.3789473460804
TEST_0026,510.147135877624
TEST_0027,494.20673455582426
TEST_0028,549.2943808794948
TEST_0029,589.3301149201351
TEST_0030,130.95395956552355
TEST_0031,559.4357094578817
TEST_0032,538.1782570041989
TEST_0033,465.39632812647045
TEST_0034,506.85660270515723
TEST_0035,483.3715733745146
TEST_0036,533.5598151013991
TEST_0037,516.2624776784551
TEST_0038,161.16930201446178
TEST_0039,518.2344502953871
TEST_0040,518.4499013930017
TEST_0041,313.0046775677471
TEST_0042,530.6768628228465
TEST_0043,156.456574395512
TEST_0044,505.257113285798
TEST_0045,313.4792353558847
TEST_0046,467.10362970435654
TEST_0047,623.3329573526502
TEST_0048,271.9794973029419
TEST_0049,508.05847484999623
TEST_0050,298.6950999410087
TEST_0051,585.7296199936736
TEST_0052,505.7099524463162
TEST_0053,182.67758639535487
TEST_0054,493.05332921655884
TEST_0055,176.30532712869115
TEST_0056,516.8141811913175
TEST_0057,572.8126286485592
TEST_0058,481.9510206268376
TEST_0059,533.4429335924623
TEST_0060,273.41018986068593
TEST_0061,217.44694284391758
TEST_0062,490.1168623308489
TEST_0063,569.8317709180662
TEST_0064,230.69673072105422
TEST_0065,174.60170509781403
TEST_0066,529.3677024951558
TEST_0067,520.4313554330442
TEST_0068,129.25313172436105
TEST_0069,530.1801622837369
TEST_0070,501.22099235943017
TEST_0071,489.2947011304195
TEST_0072,528.3254041088654
TEST_0073,268.85306408382473
TEST_0074,229.72296678642095
TEST_0075,199.63857243815056
TEST_0076,264.51216831907345
TEST_0077,531.3405674007989
TEST_0078,590.33748028832
TEST_0079,600.4903740436007
TEST_0080,586.0602525031672
TEST_0081,116.97503209073454
TEST_0082,253.06181631239804
TEST_0083,531.471049563009
TEST_0084,505.48177029830964
TEST_0085,600.5214498780667
TEST_0086,268.4293353628932
TEST_0087,143.57448118959059
TEST_0088,178.07406776123298
TEST_0089,183.44086573391175
TEST_0090,258.1261922488778
TEST_0091,503.6485535500021
TEST_0092,519.5227438229666
TEST_0093,519.2145581443039
TEST_0094,532.5088805319158
TEST_0095,541.9325150790235
TEST_0096,260.0301246158414
TEST_0097,193.886728816808
TEST_0098,219.65357358598717
TEST_0099,570.1601986854669
TEST_0100,560.1383129276778
TEST_0101,541.1104430434375
TEST_0102,268.0733957034197
TEST_0103,539.68320984553
TEST_0104,188.04046079592615
TEST_0105,586.358260967014
TEST_0106,263.0066264800674
TEST_0107,242.63407320979783
TEST_0108,545.0643264117602
TEST_0109,156.89611466536013
TEST_0110,525.3717538171828
TEST_0111,221.26245937147843
TEST_0112,534.3489795896696
TEST_0113,228.17248944495648
TEST_0114,580.8417349327044
TEST_0115,174.21979930651474
TEST_0116,503.4668179198248
TEST_0117,590.0172319014794
TEST_0118,585.3399765958591
TEST_0119,512.232458830985
TEST_0120,229.39729535172233
TEST_0121,504.5286230595617
TEST_0122,322.72963287007826
TEST_0123,540.820081357899
TEST_0124,523.7265544956365
TEST_0125,527.2915295036646
TEST_0126,199.37300950826068
TEST_0127,524.1335216032542
TEST_0128,578.7246384074165
TEST_0129,550.2187151714797
TEST_0130,184.05849186140574
TEST_0131,197.10189826364615
TEST_0132,533.8347703284778
TEST_0133,548.1160878242108
TEST_0134,124.38077010858746
TEST_0135,214.33578778837884
TEST_0136,488.0082823750031
TEST_0137,207.12660927501008
TEST_0138,217.29392766668434
TEST_0139,244.54075429362098
TEST_0140,545.2196893164398
TEST_0141,553.7744149507246
TEST_0142,150.24388657128804
TEST_0143,567.7388847745881
TEST_0144,266.5651719169526
TEST_0145,602.9532990723867
TEST_0146,217.5592982610947
TEST_0147,163.50905078904242
TEST_0148,172.86929832859886
TEST_0149,173.65544004037287
TEST_0150,514.4512444682841
TEST_0151,571.3674840415692
TEST_0152,573.6306835641537
TEST_0153,221.04586455419332
TEST_0154,465.43979648389484
TEST_0155,515.6634973248588
TEST_0156,254.3863362882086
TEST_0157,223.70085696739605
TEST_0158,165.58230161756885
TEST_0159,175.04685917007885
TEST_0160,518.5693876989576
TEST_0161,601.9606342527126
TEST_0162,117.86397640388813
TEST_0163,233.34004963017847
TEST_0164,600.5852394443149
TEST_0165,452.13919997389803
TEST_0166,500.73839988129976
TEST_0167,540.7860734342935
TEST_0168,522.2525443655478
TEST_0169,543.311758985677
TEST_0170,529.3691632259888
TEST_0171,508.18014933951224
TEST_0172,521.2995210397976
TEST_0173,274.28886797574205
TEST_0174,248.8340024267419
TEST_0175,247.44046880353937
TEST_0176,519.8443857051698
TEST_0177,530.4443725018218
TEST_0178,314.30901898771424
TEST_0179,477.84287298124855
TEST_0180,519.1519009549047
TEST_0181,560.8514479181059
TEST_0182,509.50712873105897
TEST_0183,249.78819322195307
TEST_0184,556.0081165711161
TEST_0185,551.7788038371851
TEST_0186,170.5221287881556
TEST_0187,528.0274350177149
TEST_0188,513.5981725953803
TEST_0189,169.62689385060003
TEST_0190,550.13331469946
TEST_0191,292.05164202622615
TEST_0192,151.72429698142992
TEST_0193,509.8446270541685
TEST_0194,540.0805324511674
TEST_0195,561.1702250925365
TEST_0196,557.6153918722598
TEST_0197,162.22932215696358
TEST_0198,197.71671885656676
TEST_0199,143.52777578089365
TEST_0200,231.2315268177477
TEST_0201,493.032515731644
TEST_0202,151.49609545963688
TEST_0203,155.48111494024482
TEST_0204,513.9174565757744
TEST_0205,504.598276446604
TEST_0206,265.39593603628674
TEST_0207,200.32261361549914
TEST_0208,500.4868871348717
TEST_0209,536.7704619173314
TEST_0210,546.589510161312
TEST_0211,552.5053409890345
TEST_0212,110.49306264056136
TEST_0213,463.49081707299683
TEST_0214,308.0048596591248
TEST_0215,175.56122198038594
TEST_0216,559.1267666349268
TEST_0217,172.75828574379875
TEST_0218,551.7311308217663
TEST_0219,268.5040047030391
TEST_0220,329.5639781777194
TEST_0221,277.5999282181613
TEST_0222,555.2148136047517
