code,num
C1072,556.18
C1128,556.73
C1456,556.72
C1840,556.72
C1332,556.77
C1563,556.77
C1794,556.77
C1640,556.77
C1377,599.52
C2072,599.52
C1472,599.68
C1006,597.71
C1083,597.71
C1311,597.55
C2676,599.53
C2318,599.37
C1603,599.37
C2523,560.88
C2177,560.88
C2411,560.88
C2033,560.88
C1604,562.69
C2535,562.69
C1040,562.69
C2417,562.69
C1812,562.56
C2253,559.09
C1294,559.09
C1772,559.09
C2646,559.09
C1152,578.89
C2423,578.89
C1844,579.05
C1318,579.05
C1729,579.05
C1602,579.05
C1239,579.05
C1721,579.05
C1902,675.03
C1855,675.03
C2600,675.5
C1071,674.82
C2295,674.82
C1621,674.82
C1852,674.82
C2555,674.82
C1297,681.8
C2323,681.33
C2215,681.33
C2112,568.81
C1830,568.79
C2602,568.79
C2608,568.79
C1215,568.79
C2369,568.79
C1158,563.13
C1887,564.97
C1189,564.97
C1637,563.13
C1225,562.81
C2374,562.81
C2397,562.85
C1105,560.25
C1782,560.25
C1629,541.12
C1708,541.12
C2144,541.68
C1617,541.68
C1149,565.77
C1323,565.77
C1064,565.68
C1019,565.68
C2269,565.9
C1416,531.4
C1250,531.4
C1741,531.4
C1016,527.3
C2675,527.3
C2436,531.27
C2039,527.73
C1253,494.82
C2028,494.82
C1166,494.82
C1135,494.82
C1216,494.82
C1593,494.82
C1826,494.82
C1827,494.82
C1564,494.82
C1495,494.82
C2653,494.82
C1392,494.82
C2128,494.82
C1282,494.82
C1521,494.82
C2076,494.82
C1060,494.82
C2473,494.82
C2557,495.53
C1835,495.53
C2224,564.9
C2222,564.9
C2430,564.9
C2497,564.9
C1494,564.98
C1457,538.48
C1525,538.48
C1712,538.48
C2267,538.48
C1623,538.48
C2131,538.48
C2691,538.48
C1147,538.48
C1692,532.21
C1570,532.21
C1474,533.08
C1633,495.37
C2113,495.37
C2175,495.37
C2303,495.37
C2547,495.37
C2292,495.37
C1496,495.37
C1289,495.37
C1849,495.37
C1003,495.37
C2268,495.37
C2551,495.37
C2688,495.37
C1030,495.37
C1327,495.37
C2451,495.37
C1749,495.37
C1349,495.37
C2043,495.37
C1229,495.37
C2363,495.37
C1414,495.37
C2174,495.37
C2091,495.37
C2335,495.37
C1841,495.37
C2404,495.37
C1683,495.37
C1038,495.37
C2456,495.37
C1266,495.37
C2152,495.37
C1267,495.37
C2189,495.37
