code,num
C1072,565.65
C1128,566.02
C1456,565.6
C1840,565.6
C1332,565.53
C1563,565.53
C1794,565.53
C1640,565.53
C1377,598.19
C2072,598.19
C1472,599.91
C1006,600.36
C1083,600.36
C1311,598.64
C2676,600.29
C2318,598.57
C1603,598.57
C2523,559.66
C2177,559.81
C2411,559.81
C2033,559.81
C1604,561.92
C2535,561.92
C1040,561.92
C2417,561.81
C1812,562.05
C2253,556.01
C1294,556.01
C1772,555.97
C2646,555.97
C1152,580.23
C2423,580.23
C1844,580.23
C1318,580.23
C1729,580.23
C1602,580.23
C1239,580.8
C1721,580.8
C1902,752.19
C1855,752.19
C2600,751.33
C1071,757.67
C2295,757.67
C1621,757.67
C1852,757.67
C2555,757.67
C1297,756.74
C2323,757.6
C2215,757.6
C2112,572.92
C1830,572.92
C2602,572.92
C2608,572.92
C1215,572.92
C2369,573.07
C1158,563.19
C1887,560.89
C1189,560.89
C1637,563.6
C1225,562.42
C2374,562.42
C2397,562.39
C1105,549.29
C1782,552.65
C1629,538.88
C1708,538.88
C2144,538.25
C1617,537.51
C1149,561.55
C1323,561.55
C1064,561.6
C1019,561.6
C2269,561.6
C1416,544.07
C1250,544.07
C1741,544.07
C1016,546.75
C2675,546.75
C2436,544.07
C2039,545.61
C1253,495.53
C2028,495.53
C1166,495.53
C1135,495.53
C1216,495.53
C1593,495.53
C1826,495.53
C1827,495.53
C1564,495.53
C1495,495.53
C2653,495.53
C1392,495.53
C2128,495.53
C1282,495.53
C1521,495.53
C2076,495.53
C1060,495.53
C2473,495.53
C2557,495.53
C1835,495.53
C2224,562.77
C2222,562.73
C2430,562.73
C2497,562.73
C1494,559.05
C1457,531.97
C1525,531.97
C1712,531.97
C2267,531.97
C1623,531.97
C2131,531.97
C2691,531.97
C1147,531.97
C1692,542.97
C1570,542.97
C1474,542.97
C1633,509.28
C2113,509.28
C2175,509.28
C2303,509.28
C2547,509.28
C2292,509.28
C1496,509.28
C1289,509.28
C1849,509.28
C1003,509.28
C2268,509.28
C2551,509.28
C2688,509.28
C1030,509.28
C1327,509.28
C2451,509.28
C1749,509.28
C1349,509.28
C2043,509.28
C1229,509.28
C2363,509.28
C1414,509.28
C2174,509.28
C2091,509.28
C2335,509.28
C1841,509.28
C2404,509.28
C1683,509.28
C1038,509.28
C2456,509.28
C1266,509.28
C2152,509.28
C1267,509.28
C2189,509.28
