iter	RMSE
0	5.119488867
1	4.783849942
2	4.501972239
3	4.27005479
4	4.059902263
5	3.874856038
6	3.712549106
7	3.589497066
8	3.475999975
9	3.393860669
10	3.308529074
11	3.239305121
12	3.180190315
13	3.130171719
14	3.089753322
15	3.046507422
16	3.010810486
17	2.984207803
18	2.960831208
19	2.938064078
20	2.915766062
21	2.896879183
22	2.882125947
23	2.87332963
24	2.86289121
25	2.848372163
26	2.835179638
27	2.828629733
28	2.820683064
29	2.813544175
30	2.80861408
31	2.805927672
32	2.800802265
33	2.793171909
34	2.792381753
35	2.784451248
36	2.777133889
37	2.77688272
38	2.77376619
39	2.767500122
40	2.763723524
41	2.75897448
42	2.756714116
43	2.756483255
44	2.753435407
45	2.753215167
46	2.753003009
47	2.751663297
48	2.749166848
49	2.742992502
50	2.742148136
51	2.741945261
52	2.741744078
53	2.741539164
54	2.741348695
55	2.738342605
56	2.738112104
57	2.735639813
58	2.735429613
59	2.735254417
60	2.735060994
61	2.732957917
62	2.731902396
63	2.728645623
64	2.728464341
65	2.723599347
66	2.72339701
67	2.721241121
68	2.721087974
69	2.717019544
70	2.714259316
71	2.708595166
72	2.706009956
73	2.705829905
74	2.704572977
75	2.704437308
76	2.698512949
77	2.695942371
78	2.693609494
79	2.688543016
80	2.685394587
81	2.685268815
82	2.685138424
83	2.68501387
84	2.684893514
85	2.682758703
86	2.682647582
87	2.680825395
88	2.680715221
89	2.680067333
90	2.67836199
91	2.671669851
92	2.665926675
93	2.665135457
94	2.661396974
95	2.660494019
96	2.655295734
97	2.653729336
98	2.651912085
99	2.651817214
100	2.647454579
101	2.645198712
102	2.640796271
103	2.63948147
104	2.639295107
105	2.638707776
106	2.637953993
107	2.634526966
108	2.631941061
109	2.631423638
110	2.631138473
111	2.629489015
112	2.629064292
113	2.628994772
114	2.628927763
115	2.628660338
116	2.628086026
117	2.626965421
118	2.626872269
119	2.626813169
120	2.625538962
121	2.625404766
122	2.625340916
123	2.625279999
124	2.625216146
125	2.625137192
126	2.62473127
127	2.62467076
128	2.624619057
129	2.624540609
130	2.622259676
131	2.622195749
132	2.621605322
133	2.618470911
134	2.618368837
135	2.618321425
136	2.618267809
137	2.615344005
138	2.614720344
139	2.614675498
140	2.614631388
141	2.614579487
142	2.61453348
143	2.614447886
144	2.614161817
145	2.610719269
146	2.610589477
147	2.610170959
148	2.61007552
149	2.609995686
150	2.609461464
151	2.603527889
152	2.603117117
153	2.602452238
154	2.601915092
155	2.599361975
156	2.598858507
157	2.59795437
158	2.597788339
159	2.597469704
160	2.597300463
161	2.597267292
162	2.596395784
163	2.596208555
