iter	Passed	Remaining
0	60	60445
1	69	34895
2	81	26939
3	89	22303
4	97	19460
5	106	17646
6	115	16411
7	124	15418
8	132	14630
9	141	14048
10	150	13533
11	158	13087
12	167	12741
13	176	12412
14	185	12151
15	194	11934
16	202	11734
17	211	11524
18	220	11380
19	229	11228
20	238	11109
21	246	10977
22	255	10859
23	264	10748
24	272	10622
25	280	10520
26	289	10434
27	298	10367
28	307	10282
29	315	10188
30	323	10103
31	330	10008
32	339	9941
33	347	9870
34	356	9822
35	364	9759
36	373	9709
37	381	9659
38	390	9618
39	398	9569
40	406	9516
41	416	9498
42	426	9500
43	437	9496
44	445	9453
45	453	9408
46	461	9365
47	470	9331
48	478	9277
49	487	9257
50	496	9229
51	509	9292
52	525	9380
53	539	9447
54	550	9456
55	561	9461
56	573	9481
57	584	9490
58	595	9499
59	608	9527
60	618	9526
61	628	9508
62	636	9470
63	646	9448
64	655	9423
65	664	9409
66	672	9367
67	682	9352
68	689	9308
69	699	9290
70	707	9262
71	717	9242
72	726	9231
73	736	9210
74	746	9201
75	755	9181
76	763	9156
77	772	9135
78	782	9121
79	793	9130
80	811	9205
81	822	9208
82	832	9201
83	844	9205
84	859	9249
85	868	9234
86	880	9239
87	895	9281
88	904	9262
89	914	9246
90	947	9462
91	964	9519
92	991	9667
93	1010	9744
94	1027	9787
95	1057	9958
96	1075	10016
97	1095	10080
98	1114	10143
99	1129	10163
100	1147	10216
101	1163	10244
102	1183	10308
103	1200	10346
104	1218	10385
105	1235	10423
106	1251	10441
107	1267	10465
108	1282	10480
109	1297	10496
110	1312	10511
111	1328	10536
112	1344	10550
113	1355	10538
114	1366	10518
115	1379	10512
116	1390	10491
117	1401	10476
118	1412	10458
119	1425	10453
120	1437	10439
121	1449	10429
122	1461	10423
123	1472	10402
124	1481	10372
125	1492	10350
126	1502	10327
127	1513	10309
128	1524	10293
129	1534	10267
130	1545	10255
131	1556	10235
132	1566	10208
133	1575	10182
134	1584	10153
135	1595	10138
136	1604	10105
137	1611	10068
138	1621	10046
139	1632	10028
140	1642	10005
141	1653	9990
142	1664	9972
143	1673	9950
144	1682	9919
145	1693	9906
146	1705	9894
147	1717	9887
148	1726	9860
149	1736	9841
150	1748	9831
151	1763	9837
152	1778	9848
153	1791	9842
154	1806	9851
155	1818	9839
156	1828	9819
157	1840	9807
158	1852	9797
159	1862	9777
160	1874	9768
161	1887	9764
162	1897	9745
163	1909	9735
164	1921	9724
165	1933	9714
166	1945	9706
167	1957	9696
168	1969	9683
169	1980	9671
170	1993	9662
171	2003	9643
172	2013	9626
173	2024	9610
174	2033	9587
175	2045	9575
176	2055	9556
177	2065	9539
178	2077	9527
179	2087	9510
180	2098	9493
181	2108	9475
182	2116	9451
183	2126	9429
184	2137	9414
185	2147	9398
186	2157	9381
187	2167	9363
188	2177	9345
189	2187	9325
190	2199	9314
191	2208	9295
192	2219	9280
193	2228	9259
194	2239	9244
195	2249	9227
196	2259	9208
197	2269	9192
198	2279	9176
199	2288	9154
200	2297	9132
201	2306	9110
202	2316	9094
203	2326	9079
204	2337	9063
205	2346	9045
206	2357	9030
207	2366	9009
208	2378	9000
209	2388	8983
210	2396	8963
211	2406	8946
212	2416	8928
213	2426	8913
214	2437	8900
215	2445	8876
216	2455	8860
217	2465	8844
218	2475	8827
219	2484	8809
220	2495	8797
221	2505	8780
222	2515	8765
223	2524	8746
224	2535	8731
225	2544	8714
226	2553	8695
227	2562	8677
228	2572	8660
229	2580	8638
230	2590	8624
231	2600	8608
232	2608	8587
233	2618	8570
234	2628	8555
235	2639	8544
236	2648	8525
237	2658	8512
238	2667	8493
239	2677	8477
240	2687	8462
241	2696	8444
242	2706	8431
243	2715	8413
244	2725	8400
245	2734	8381
246	2744	8367
247	2755	8355
248	2765	8339
249	2774	8322
250	2783	8306
251	2793	8290
252	2803	8276
253	2812	8259
254	2821	8243
255	2831	8227
256	2841	8215
257	2850	8197
258	2859	8182
259	2868	8165
260	2877	8148
261	2887	8134
262	2897	8118
263	2906	8102
