iter	RMSE
0	704.158444
1	693.5683871
2	684.4359836
3	676.7241939
4	669.9123362
5	664.1500004
6	658.9739879
7	654.1750295
8	650.2117523
9	646.6557641
10	643.0997487
11	640.2087646
12	637.7558805
13	635.6762471
14	633.410251
15	631.5345554
16	630.0880472
17	628.5532642
18	627.0983775
19	625.8246595
20	624.6930216
21	623.5438343
22	622.6289769
23	621.6056015
24	620.8893968
25	620.1145319
26	619.421338
27	618.7761596
28	618.253694
29	617.7254135
30	617.1368806
31	616.728229
32	616.2052808
33	615.5629441
34	615.0943262
35	614.853408
36	614.325237
37	613.8947466
38	613.5903985
39	613.097113
40	612.7116915
41	612.3270953
42	612.0727091
43	611.8144754
44	611.5310982
45	611.2934415
46	610.9615728
47	610.6751023
48	610.3910673
49	610.011771
50	609.6556449
51	609.4420712
52	609.0684021
53	608.8968201
54	608.6137184
55	608.1599855
56	607.8318949
57	607.6455374
58	607.4224445
59	607.2476209
60	606.850821
61	606.6798846
62	606.4802239
63	606.3655474
64	606.2748653
65	606.1212948
66	606.0683953
67	605.9274082
68	605.7191195
69	605.5656377
70	605.3609793
71	605.2377246
72	604.9421131
73	604.8706153
74	604.7248736
75	604.4726224
76	604.1888169
77	603.9803735
78	603.7564902
79	603.4772466
80	603.4047659
81	603.2469894
82	603.1417003
83	603.124216
84	602.9381545
85	602.8853833
86	602.7219623
87	602.5911293
88	602.4749657
89	602.4118184
90	602.2749347
91	602.1506311
92	601.9407054
93	601.7949062
94	601.5294566
95	601.3806053
96	601.074534
97	600.7890961
98	600.7078671
99	600.5213889
100	600.3827868
101	600.10817
102	599.8012067
103	599.6754645
104	599.5339782
105	599.4311691
106	599.2645413
107	599.0091671
108	598.9455642
109	598.8379465
110	598.739729
111	598.549219
112	598.249055
113	598.2106382
114	597.947328
115	597.8962119
116	597.7478835
117	597.6823225
118	597.5047467
119	597.4602778
120	597.3546594
121	597.1314554
122	597.0119223
123	596.7365783
124	596.561299
125	596.3877802
126	596.244394
127	596.1033631
128	596.034988
129	595.9571521
130	595.7806162
131	595.7461796
132	595.5950914
133	595.4995388
134	595.4542219
135	595.3884124
136	595.284154
137	595.1994464
138	595.0820232
139	594.9608194
140	594.7812919
141	594.7413874
142	594.6687891
143	594.5423068
144	594.4952596
145	594.2931145
146	594.1325053
147	593.8771514
148	593.8481965
149	593.6590651
150	593.5646616
151	593.513335
152	593.4254964
153	593.2519664
154	593.1105099
155	593.030639
156	592.8526905
157	592.7395884
158	592.7040489
159	592.6206972
160	592.5227918
161	592.4209788
162	592.3899615
163	592.2618163
164	592.1255005
165	591.9796405
166	591.8108287
167	591.7422695
168	591.5572846
169	591.4920957
170	591.1942169
171	591.0353295
172	590.8936478
173	590.7903466
174	590.7093784
175	590.6232315
176	590.4659314
177	590.393665
178	590.2751995
179	590.2305531
180	590.1727417
181	590.0787574
182	589.9078509
183	589.7031888
184	589.5441479
185	589.3641898
186	589.2060091
187	589.0876912
188	588.9712937
189	588.9263467
190	588.7749519
191	588.6915245
192	588.5974468
193	588.4692584
194	588.3291337
195	588.2511842
196	588.1679521
197	588.006137
198	587.90931
199	587.8587479
200	587.7693571
201	587.4990745
202	587.335212
203	587.1499101
204	587.0539762
205	586.8912242
206	586.8357784
207	586.7098615
208	586.5985197
209	586.4617934
210	586.3645175
211	586.1455514
212	586.1091237
213	586.0503454
214	585.8716069
