iter	Passed	Remaining
0	10	10803
1	21	10717
2	31	10536
3	41	10315
4	51	10251
5	61	10163
6	71	10091
7	81	10072
8	90	9952
9	100	9945
10	110	9948
11	120	9896
12	130	9895
13	139	9830
14	150	9884
15	160	9855
16	170	9880
17	181	9884
18	190	9860
19	200	9844
20	210	9816
21	220	9807
22	229	9761
23	239	9739
24	248	9706
25	259	9709
26	269	9706
27	279	9693
28	289	9692
29	299	9669
30	307	9608
31	316	9561
32	325	9548
33	335	9518
34	344	9490
35	354	9486
36	363	9450
37	373	9454
38	382	9437
39	391	9402
40	400	9365
41	409	9351
42	419	9345
43	430	9343
44	440	9353
45	451	9366
46	461	9363
47	472	9365
48	481	9352
49	490	9322
50	501	9334
51	511	9317
52	521	9325
53	531	9319
54	542	9322
55	552	9307
56	560	9275
57	571	9276
58	581	9269
59	591	9271
60	602	9270
61	611	9255
62	622	9256
63	631	9238
64	641	9225
65	651	9220
66	660	9202
67	670	9189
68	679	9169
69	688	9142
70	698	9139
71	708	9137
72	718	9127
73	727	9098
74	736	9085
75	746	9081
76	757	9078
77	766	9065
78	777	9061
79	787	9054
80	795	9027
81	806	9025
82	814	8997
83	822	8970
84	832	8965
85	841	8943
86	850	8924
87	860	8920
88	870	8909
89	879	8893
90	888	8877
91	897	8857
92	907	8846
93	917	8841
94	927	8839
95	937	8832
96	947	8819
97	956	8806
98	965	8791
99	975	8783
100	984	8766
101	995	8762
102	1005	8754
103	1014	8739
104	1025	8738
105	1035	8732
106	1045	8728
107	1055	8721
108	1064	8702
109	1074	8696
110	1084	8684
111	1094	8675
112	1104	8671
113	1113	8654
114	1123	8645
115	1131	8626
116	1141	8617
117	1150	8601
118	1160	8590
119	1169	8577
120	1179	8565
121	1188	8555
122	1198	8545
123	1208	8537
124	1219	8534
125	1228	8521
126	1238	8514
127	1247	8501
128	1256	8485
129	1266	8476
130	1276	8469
131	1286	8456
132	1296	8449
133	1305	8438
134	1315	8427
135	1324	8416
136	1333	8400
137	1343	8390
138	1353	8383
139	1362	8371
140	1372	8364
141	1382	8351
142	1391	8336
143	1401	8329
144	1409	8311
145	1419	8302
146	1428	8291
147	1438	8282
148	1447	8266
149	1457	8257
150	1466	8246
151	1476	8234
152	1485	8224
153	1496	8219
154	1505	8208
155	1514	8194
156	1525	8190
157	1535	8180
158	1544	8168
159	1554	8161
160	1564	8153
161	1574	8142
162	1582	8125
163	1591	8112
164	1601	8106
165	1612	8103
166	1622	8093
167	1632	8083
168	1642	8075
169	1650	8059
170	1660	8051
171	1670	8042
172	1681	8036
173	1690	8025
174	1700	8014
175	1710	8007
176	1720	8000
177	1729	7987
178	1739	7980
179	1748	7964
180	1757	7953
181	1767	7943
182	1777	7935
183	1787	7927
184	1797	7920
185	1807	7908
186	1816	7899
187	1826	7889
188	1837	7882
189	1845	7868
190	1855	7860
191	1865	7852
192	1875	7842
193	1885	7834
194	1895	7825
195	1905	7814
196	1913	7799
197	1922	7787
198	1932	7777
199	1941	7765
200	1951	7756
201	1960	7746
202	1970	7737
203	1980	7728
204	1990	7720
205	2001	7713
206	2011	7707
207	2021	7697
208	2030	7685
209	2041	7678
210	2051	7669
211	2061	7661
212	2070	7650
213	2079	7638
214	2089	7630
215	2100	7624
216	2110	7616
217	2120	7606
218	2130	7597
219	2140	7590
220	2151	7583
221	2161	7573
222	2170	7560
223	2180	7552
224	2190	7544
225	2200	7534
226	2210	7526
227	2220	7517
228	2229	7507
229	2239	7498
230	2250	7491
231	2258	7477
232	2267	7465
233	2278	7457
234	2287	7447
235	2297	7439
236	2307	7430
237	2316	7415
238	2325	7406
239	2336	7398
240	2346	7391
241	2358	7386
242	2368	7378
243	2378	7370
244	2388	7360
245	2398	7350
246	2406	7335
247	2416	7326
248	2426	7318
249	2436	7309
250	2446	7299
251	2456	7290
252	2465	7280
253	2476	7274
254	2485	7260
255	2494	7248
256	2503	7236
257	2514	7230
258	2524	7222
259	2534	7214
260	2543	7200
261	2552	7190
262	2563	7182
263	2573	7173
264	2583	7164
265	2593	7156
266	2603	7147
267	2613	7137
268	2624	7131
269	2633	7118
270	2642	7108
271	2652	7100
272	2662	7090
273	2672	7081
274	2683	7074
275	2692	7064
276	2702	7053
277	2712	7044
278	2722	7035
279	2732	7027
280	2742	7018
281	2753	7009
282	2762	6999
283	2773	6991
284	2781	6979
285	2791	6970
286	2802	6962
287	2813	6955
288	2823	6945
289	2833	6936
290	2843	6928
291	2854	6922
292	2864	6912
293	2874	6902
294	2884	6893
295	2894	6884
296	2903	6872
297	2912	6861
298	2922	6851
299	2930	6837
300	2940	6828
301	2951	6820
302	2961	6813
303	2971	6803
304	2982	6795
305	2991	6784
306	3002	6777
307	3012	6768
