id,count
0,101.94
1,225.05
2,90.76
4,29.27
5,66.79
10,127.05
11,188.52
12,323.7
15,30.09
17,122.17
18,309.17
23,263.19
25,115.95
26,37.53
31,214.28
39,158.5
40,25.25
41,185.87
42,373.3
43,168.81
51,236.44
52,92.04
54,14.83
60,145.76
61,147.92
62,112.87
63,26.69
65,122.49
66,111.08
68,149.84
71,70.24
80,29.86
82,71.9
94,134.48
98,274.82
101,27.51
102,133.38
107,95.83
112,220.13
113,81.94
115,49.76
116,127.41
120,176.17
121,80.44
122,319.26
132,199.58
143,101.05
147,65.74
150,17.62
151,86.61
152,242.62
153,89.56
155,154.85
156,76.58
159,203.01
161,152.03
163,43.58
177,181.24
186,14.42
188,18.51
190,97.64
191,85.39
192,271.6
195,310.85
200,145.39
209,308.65
210,13.8
211,224.1
214,107.4
215,26.78
218,101.83
219,32.5
222,155.16
225,14.38
228,311.22
236,246.87
241,37.11
242,185.89
243,240.62
245,16.8
247,248.76
251,141.37
252,88.82
253,85.89
254,88.22
258,324.36
260,53.9
261,161.25
265,111.26
266,275.92
267,293.0
269,150.52
270,67.19
275,102.35
278,40.09
279,84.84
286,101.15
287,28.3
288,224.78
289,141.91
293,18.72
294,165.65
297,34.73
302,122.05
303,72.62
304,61.48
307,100.72
309,17.57
311,173.77
312,122.42
314,198.26
315,257.56
319,168.37
322,115.64
323,66.75
325,149.63
327,247.19
330,38.16
332,217.92
333,17.51
338,105.05
341,114.06
345,188.62
348,121.74
349,46.66
350,122.59
352,51.44
355,16.73
356,228.66
358,51.65
363,134.72
369,151.85
371,20.3
372,151.24
375,300.92
380,132.42
388,45.59
391,157.23
392,260.17
393,366.73
394,182.18
396,27.72
401,38.12
407,103.53
409,93.44
410,113.6
416,109.0
418,125.42
420,155.05
421,202.22
422,134.31
424,293.02
428,341.87
429,207.67
431,150.14
435,13.94
439,118.1
441,13.46
447,94.27
449,151.64
451,137.67
452,16.77
454,213.55
458,217.9
463,122.76
467,15.16
470,232.96
471,149.98
474,289.39
478,16.46
483,123.76
484,130.02
485,85.05
486,126.15
491,100.18
494,105.76
495,240.56
497,213.38
499,173.06
515,112.23
518,201.84
521,199.22
525,176.56
529,244.06
532,145.17
534,105.88
540,106.51
544,300.49
547,166.26
549,44.07
563,37.36
564,150.08
567,127.5
572,113.46
577,135.66
578,257.61
585,351.62
588,142.86
589,124.32
590,103.82
592,16.35
594,221.39
596,14.38
598,357.51
599,141.0
605,37.58
606,130.47
607,251.88
608,231.26
609,64.62
610,285.43
611,191.23
614,126.83
615,223.13
616,251.93
617,129.97
618,249.77
624,119.26
629,138.08
631,92.88
633,99.22
637,25.06
638,103.4
643,63.4
644,131.74
645,37.71
646,209.01
648,191.18
650,39.66
651,196.18
652,270.04
656,105.87
657,18.12
659,90.17
660,207.34
662,99.2
665,369.8
675,319.07
681,158.75
682,201.72
685,21.71
686,230.39
689,25.54
696,145.44
703,146.49
704,99.49
705,106.03
714,232.44
717,106.0
718,14.06
720,86.55
721,261.75
723,239.08
726,180.42
728,140.29
730,203.06
731,26.43
734,350.13
737,80.57
738,18.23
745,194.77
746,26.39
749,231.76
752,26.93
753,156.17
758,242.85
765,17.11
766,228.96
768,86.78
769,194.8
774,136.75
775,109.15
781,51.68
784,320.44
794,17.02
795,274.49
796,74.56
802,151.78
803,217.68
805,34.99
806,284.44
807,103.0
809,15.55
810,173.0
812,189.51
814,118.54
818,245.3
819,139.49
825,59.24
836,114.96
839,119.85
847,260.28
848,180.98
851,122.93
852,134.87
853,33.29
857,145.04
858,43.49
859,230.03
861,25.09
867,97.78
870,217.32
871,212.23
872,230.07
874,357.02
881,216.95
886,133.39
890,53.54
895,163.34
899,90.74
900,271.34
901,249.2
902,246.47
903,38.33
913,262.72
918,207.98
923,97.38
924,40.84
926,26.93
927,18.41
930,224.48
934,33.03
937,117.1
939,129.89
941,90.79
942,369.11
946,278.22
950,98.71
953,91.24
959,99.64
961,28.54
962,101.43
964,80.57
969,189.18
971,141.49
976,38.73
978,251.22
980,243.32
981,156.31
990,363.27
993,18.86
996,19.6
998,326.11
999,180.12
1006,121.84
1008,15.57
1013,29.95
1015,101.23
1016,116.94
1022,299.68
1026,218.27
1028,233.27
1031,73.18
1034,45.21
1037,218.05
1040,64.81
1042,19.1
1046,17.53
1048,97.84
1049,107.73
1050,65.4
1051,208.51
1052,236.04
1055,188.03
1060,141.73
1064,27.94
1066,84.73
1071,96.15
1073,13.17
1089,198.36
1091,103.62
1092,73.18
1093,233.48
1096,300.04
1097,228.12
1098,18.06
1099,38.23
1102,182.75
1107,109.28
1109,40.67
1111,137.57
1112,113.66
1114,301.88
1116,293.36
1117,120.04
1118,85.28
1122,136.42
1124,173.79
1127,122.33
1133,214.01
1134,39.26
1135,127.31
1139,297.82
1143,49.72
1150,121.77
1151,111.74
1153,266.64
1155,28.59
1162,28.48
1163,204.64
1166,21.5
1171,87.51
1172,15.67
1173,252.96
1174,78.78
1177,116.18
1178,149.1
1184,170.8
1185,112.66
1186,121.2
1187,163.33
1188,279.02
1191,139.14
1207,121.49
1213,46.76
1215,126.79
1223,194.41
1227,119.81
1236,50.22
1237,41.3
1238,18.3
1241,28.76
1248,16.94
1250,33.12
1251,168.56
1253,117.91
1255,98.7
1257,177.21
1261,116.73
1262,337.31
1265,125.27
1273,180.63
1277,262.54
1278,117.8
1280,113.61
1284,231.13
1285,321.05
1288,31.42
1295,113.97
1297,354.9
1299,257.85
1304,153.57
1308,43.54
1310,98.03
1311,120.54
1314,93.88
1315,103.13
1318,33.98
1320,319.85
1321,292.26
1322,235.74
1330,117.21
1333,163.26
1334,226.74
1341,125.88
1344,142.84
1351,237.32
1354,104.58
1356,46.56
1363,122.92
1365,207.99
1369,133.2
1373,118.15
1375,109.89
1377,89.14
1379,134.27
1380,273.05
1381,100.82
1384,186.46
1390,190.89
1393,239.97
1395,45.13
1399,322.11
1400,110.66
1401,180.2
1404,177.37
1408,14.16
1409,29.85
1413,225.27
1416,275.2
1418,103.94
1423,105.73
1424,27.82
1425,15.55
1433,242.82
1434,154.75
1436,322.26
1442,242.25
1444,86.83
1445,117.35
1452,207.79
1455,162.41
1462,63.03
1467,87.12
1472,46.04
1475,197.74
1493,122.1
1501,224.61
1503,295.16
1504,222.35
1505,15.39
1511,229.86
1512,47.58
1513,87.0
1514,36.54
1528,237.96
1533,237.45
1534,28.44
1536,148.87
1537,74.3
1539,228.65
1550,219.23
1552,211.39
1554,201.4
1555,363.99
1556,102.29
1559,31.47
1563,239.63
1566,151.05
1567,144.96
1568,27.27
1571,232.37
1572,17.91
1574,46.68
1577,17.31
1583,78.29
1585,31.62
1586,193.64
1587,183.65
1596,146.75
1602,31.21
1604,95.38
1605,32.54
1610,304.33
1611,99.03
1616,29.54
1617,103.03
1618,15.73
1622,43.41
1623,32.4
1628,309.98
1631,17.5
1632,195.62
1633,245.34
1634,318.17
1636,217.67
1637,99.26
1643,147.33
1644,104.36
1646,97.7
1648,223.05
1651,36.41
1656,20.82
1658,147.92
1659,18.91
1665,172.19
1666,142.93
1670,39.69
1674,139.8
1679,200.44
1680,215.73
1683,319.44
1686,27.48
1691,98.89
1693,37.36
1696,37.1
1697,97.17
1703,103.38
1706,28.03
1709,167.62
1710,89.31
1712,209.08
1713,125.51
1718,350.42
1719,176.15
1722,279.31
1723,127.39
1724,287.39
1728,69.75
1730,31.78
1732,30.13
1737,35.05
1745,86.8
1747,14.14
1748,12.77
1755,106.19
1759,16.9
1761,271.04
1764,225.05
1765,144.2
1766,87.17
1768,100.73
1770,29.13
1771,143.9
1774,100.15
1785,132.39
1788,188.19
1792,14.62
1794,232.11
1797,114.05
1798,14.17
1799,251.34
1802,106.54
1806,45.73
1808,84.89
1810,238.02
1818,109.21
1819,376.63
1820,291.93
1822,222.0
1826,215.56
1827,178.66
1835,18.72
1841,115.98
1842,150.42
1843,18.61
1846,47.64
1849,105.47
1850,217.39
1851,194.59
1857,52.3
1858,181.37
1860,101.41
1861,248.36
1864,121.19
1869,316.76
1871,61.94
1872,25.19
1875,16.33
1878,225.03
1879,244.58
1885,90.61
1888,108.09
1889,27.57
1890,97.34
1896,145.73
1897,180.47
1898,123.08
1900,99.7
1905,37.96
1908,121.07
1909,99.89
1913,67.4
1918,107.05
1922,308.75
1923,126.39
1925,259.62
1926,138.77
1927,295.46
1930,198.53
1935,72.4
1939,119.87
1942,97.58
1943,30.04
1948,246.51
1949,252.9
1951,108.24
1953,118.59
1959,130.01
1963,17.74
1967,127.33
1973,262.63
1975,28.61
1976,89.8
1990,115.75
1993,119.79
1997,175.15
1999,126.71
2001,289.39
2004,86.19
2010,105.55
2013,133.03
2017,292.63
2021,119.44
2023,150.32
2026,151.83
2037,28.45
2039,177.3
2041,16.28
2046,32.55
2050,16.36
2060,234.75
2067,103.48
2069,154.97
2072,245.69
2074,143.64
2079,131.34
2083,26.15
2085,175.82
2087,16.16
2093,149.77
2094,31.37
2097,32.37
2103,96.0
2104,51.25
2107,201.91
2108,20.42
2110,91.84
2115,204.05
2117,31.49
2125,308.27
2127,256.44
2133,14.55
2134,360.2
2135,115.69
2141,237.12
2143,42.0
2145,84.35
2146,29.99
2147,270.38
2148,56.66
2149,65.29
2165,121.63
2166,158.44
2177,179.13
